stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.36,0,0,0.86,0,0,0,0,1.92,0,0,0,3.36,0,0,15.2,0,0,0,0,0.95,2.01,14.96,0,0,0
 24-34,0,0.97,0,0,1.7,0,0,0,0,0,0,0,0.78,0,1.03,115.58,0,1.06,0.69,0,0,0,18.93,0,0,1.08
 36-46,0,0,0,0,15.13,0,4.65,0,0,0,0,0,3.01,2.04,0.57,442.22,0,5.67,5.66,0,0,0,68.75,0,0,0.9
 48-58,0,0,3.72,0,61.19,0,2.47,0,0,0,0,0,7.24,0,1.86,532.58,0,0.53,0,0,0,0,67.86,0,0,0.49
 60-70,0,0,0,0,265.77,0,4,0,0,4.86,0,2.72,4.08,0,0,637.52,0,2.34,0,0,0,0,80.82,0,0,0
 72-82,0,0,1.46,0,182.07,0,6.62,0.56,0,0,0,0.62,3.21,0,0,513.13,5.96,1.97,0,0,0,0,58.84,0.91,0.94,1.35
 84-94,0,1.62,1.22,0.57,242.95,0,7.63,1.12,0,1.54,0,0,4.03,2.23,1.2,419.77,0,1.13,0,3.83,0,0,28.93,2.75,0,0
 96-106,0,0.83,0.9,0,197.91,1.03,3.08,0,0,0,0,0.57,0.61,0,0,306.01,0,2.86,1.14,0,0,0,11.39,1.89,1.93,3.17
108-118,0,0,2.45,1.22,87.04,0,0,0,0,0,0.46,0,4.3,0,0,336.8,0,2.58,0,0,0,0,26.68,0,0,0
120,0,0,0,0,80,0,5.41,1.73,0,0,0,0,2.55,0,0,244.44,3.27,0,0,0,0,0,19.21,0,0,1.54
