stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,5.72,0,0,0,4.57,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,1.82,0,0,0,0,0
 24-34,0,0,0,0,2.9,0,0,2.78,0,0,0,0,2.22,0,0,36.52,0,0,0,0,0,0,16.05,0,0,0,0,0
 36-46,0,0,0,0.57,0,1.31,0,1.81,0,0,0,0,0.58,0,0.79,32.28,0,0,1.46,0,0,0,5.48,0,0,0,0,0
 48-58,0,0,0,0,2.73,0,0,1.87,0,0,0,0,2.74,0,0,36.23,0,0,0.39,0,0,0,9.45,0,0.61,0,0,0
 60-70,0,0,0,2.52,27.2,0,0,24.88,0,0,1.02,0,5.82,0,0,118.37,0,0,0.59,0,0,0.67,15.05,0,0,0,0,0
 72-82,0,0.5,0,0.87,77.94,0,0,40.42,0,0,0,0,11.11,0.67,0,119.86,0,0,0,0,0,0,18.16,1.69,0,0,0,0
 84-94,0,0,0,0,51.07,0,0.7,31.8,1.81,0,0,6.67,8.93,0.86,0,86.74,0,0.71,0.72,0,1.11,0,13.62,0,0,0,0,0
 96-106,0,0,0,5.98,167.57,0,1.04,56.54,0,0,1.15,0,34.72,5.65,0,63.6,0,0,0,0,0,0,0.68,0,0,0.96,0,0.89
108-118,0,0,0.61,0,113.77,0,0,28.56,0,3.1,0,0,10.06,4.81,0,52.06,0.46,0,1.56,0,0,0,8.29,0,0,0,0.72,0
120,0,0,0,1.67,144.73,0,0,113.55,0,2.02,0,0,34.65,2.47,1.92,161.51,0,0,0,0,0,0,7.03,0,0,0,3.35,0
