stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,9.16,119.47,815.69,0,16.8,0,0,0,4.43,2.41,0,0,3.3,0.87,0,0,11.07,50.19,0,0,27.2,307.44,5.22,0,2.13,6.14,0,2.82,1.58,6.09,9.33,2.29,24.52,88.04,0,0,2.99,0,8.82
 24-34,0,0,1.01,8.29,453.03,0,14.68,0,0.78,0,0.59,0,0.92,0,1.91,0,0,11.53,0,35.13,1.37,0,10.35,204.7,2.16,0.76,0,0,0,29.37,0,0,5.2,0,8.94,65.09,0,0,6.2,0,3.73
 36-46,0,2.82,0,15.22,150.95,0,18.98,0,0.73,0,22.4,1.15,1.65,0,0,2.64,0,7.49,0,18.04,0.59,9.41,4.09,112.38,1.6,3.66,0,0,0,44.13,0.65,0,1.46,0,0.75,52.22,0,0,2.49,0,1.11
 48-58,0,0.88,0,8.3,347.17,0,38.58,0,10,1.29,17.39,3.78,0,0.85,2.29,0,0,1.95,0,19.07,0,1.52,5.67,113.77,0,4.12,0,0,0,11.92,0,0,4.1,0,0,42.59,0,0,0.83,1.45,0
 60-70,0,6.13,0,8.44,397.56,0,56.72,1.1,2.53,2.9,20,12.01,0.69,0,0,1.63,0,0,0,45.5,0,3.62,3.31,89.7,0,2.61,0,0,9.27,11.87,0,0,2.16,0,0,24.84,0,0,0,4.6,0
 72-82,0,42.5,0,14.61,969.92,0,267.77,0.5,1.91,1.93,31.19,49.85,4.59,5.65,0,1.22,0,1.75,0,95.5,0,2.11,1.89,131.55,0.91,3.6,0.53,0,36.67,3.59,0,0,1.01,0,0,11.33,0,22.4,7.49,20.99,0
 84-94,0,50.93,0.68,13.39,1224.84,3.04,133.09,12.06,2.49,0,8.17,62.82,0,7.13,0.56,4.14,1,2.87,3.35,76.33,0,38.1,7.9,90.72,0,2.34,0.79,0,22.94,5.36,0,0,6.1,0,0,8.87,0,19.66,7.5,15.74,2.42
 96-106,0,84.56,0,28.76,1681.23,0,156.34,9.85,0,0,46.73,130.23,8.71,4.49,0,0,0,21.86,0,177.77,0,14.34,68.51,106.9,0,2.02,1.13,0,193.53,15.89,0,0,10.26,0,0,9.43,1.64,17.36,13.76,14.13,1.61
108-118,3.02,79.8,0.5,23.52,1091.61,2.38,216.01,2.14,5.47,4.31,31.09,120.59,2.42,4.74,0,5.74,0,7.72,0,103.32,0,105.77,15.75,96.35,0.46,6.23,0.55,0,273.88,7.47,0,0,17.52,0,0,13.55,0,33.15,10.63,195.42,0
120,0,116.21,0,14.22,1559.81,0,915.96,22.65,1.05,0,18.89,141.45,0,22.29,0,0,0,0,0,92.63,0,19.72,3.02,186.65,0,1.26,22.08,0,185.61,12.74,0,0,11.48,0,0,0,0,59.33,4.93,170.88,0
