stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.88,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,1.07,0,1.11,0,0,0,0.88,0,0.95,0,0,0,0,0,0,0.99,57.81,0,0,0,0.87,0,0,0,1.16,1.03,32.84,0,0,1.65,0,0
 24-34,0,0,0,0.7,0,0,16.94,0,0,0,3.56,2.05,0,0,0,0,0,1.44,0,5.18,317.61,0,0.9,0.63,0,0,0,0,0.78,6.89,112.18,0,0,11.21,0,0
 36-46,0,0,0,2.69,0,0,49.31,3.4,0,0,4.78,0,0,0,0,0,0.58,5.08,0,1.68,510.72,6.75,3.06,0,0,0,7.3,0,0,0,122.8,0,0,2.07,0,0
 48-58,0,0,0,1.78,0,0,239.53,0,0,1.87,12.37,0.82,0,0,4.74,0,0,13.57,0,2.99,626.52,0,3.61,0.4,0,0,0,0,0,0,138.72,0,0,3.22,0,1.67
 60-70,0,0,0,1.02,0,0,646.24,0,0,0.63,23.2,0,0,0,0,0,0,23.69,5.65,1.09,682.76,0,0,1.52,0,0,0,0,0,0,87.04,0,0,1.33,0,1.56
 72-82,0,0.5,0,1.23,0,0,559.16,0,0.5,3.87,24.57,0,0,0,0.64,0,0,33.14,0.51,1.92,756.89,0,1.11,0,0,0,0,0,0,0,83.64,0.53,0,12.37,0.86,0.67
 84-94,0,0,0,5.51,1.4,0,454.58,0,0,0.67,31.15,0,0.65,0,1.51,2.07,1.05,37.5,1.13,4.79,564.61,0,0,4.58,0,0,0,0,0,0,58.91,0,0.63,5.22,0,0
 96-106,0,0,0,0,0,0,343.42,0,0,0,31.49,0,0,0,2.45,1.45,0,20.87,4.14,0,460.58,0,2.04,4.72,0,0,6.19,0,0,0,6.67,0.62,2.46,11.36,0,0
108-118,0,0,0,7.17,0,0.49,245.43,0,0,1.5,37.38,0,0,0,6.6,0,0,30.15,1.28,3.84,532,0,0.47,0.78,0,1.22,0,0.42,0,0,5.96,0,0,15.65,1.72,18.85
120,1.12,0,0,0,0,3.69,234.2,3.87,0,7.83,26.3,0,0,1.4,6.09,0,0,11.12,0,0,734.62,0,0,0,0,0,17.79,0,1.37,0,9.14,0,0,27.32,2.54,0
