stage,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,4.17,0,13.2,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,46.67,17.24,44.94,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,54.77,0.84,2.74,1.02,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.71,0,80.16,0,0,1.52,1.91,0
 36-46,0,0,0,0,0,0,0,0,0,0.92,0,122.7,0,0,0,0,0
 48-58,0,0,1.52,0,0,0,0,0,0,4.32,0,46.74,0,0,0,0,0
 60-70,1.3,0.75,0,0,0,0,0,0,0,3.61,0,27.37,0,0,0,0,0
 72-82,3.04,0,0,0,0,0.63,1.45,0,0,0,0,30.09,0,0,0,0,0
 84-94,3.22,0,0.66,0,0,0.59,0,0,0,0,0,51.97,0,0,0,0,0
 96-106,6.58,0,1.18,0,0,1.05,0,0.6,0.71,2.98,0,87.77,0,0,0,0,7.04
108-118,5.99,0,3.32,0.65,0.5,1.23,0,0.96,0,0,0,67.11,0,0,0,0,0
120,13.34,0,6.36,0,0,0,0,0,0,1.45,0,82.62,0,0,0,0,0
