stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0
 14-21,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,28.69,0,12.08,1.91,0,0,0,1.2,1.01,4.32,0,0,2.14,0.64,586.86,1.22,0,0,23.64,0,0.96,0,0,0,0
 36-46,0,0,2.91,0,0,8.54,0.73,0,0,0,0,0,0,2.21,0,0,1039.83,0,0,0,16.6,0,2.26,0,0,0,0
 48-58,0,0,15.93,0,0,4.18,0,0,0,0,2.86,0,0,1.01,0.45,0,565.44,0,0,0,21.75,0.4,1.52,0,0,0,0
 60-70,0,0,14.89,0,0,0,0,0,1.66,0.78,0,0,0,5,0,0,253.88,0,0,0,8.56,0,0,5.68,2.67,0,4.77
 72-82,0,0,9.06,0,2.21,1.21,0,0,0,0,0,0,6.97,1.55,0,1.31,348.84,0,0.51,0,1.22,0,7.84,52.63,0,1.45,0
 84-94,0,0,16.84,0,1.15,2.19,0,0,0,0,0,2.09,0,0,0,0,357.87,0,0,0,12.71,0,0,117.02,0,0,0
 96-106,0,0,20.41,5.21,0.94,0,1.81,6.08,0,0,1.44,0,6.49,13.59,0,0,263.24,0,0,0,26.09,0,0,130.96,0,0,0
108-118,0,10.61,20.35,0,0,2.15,0,1.48,2.74,0,0.5,0,0,2.71,0,0,165.97,0,0,0,34.38,0,0,192.49,1.49,0,0
120,0,0,30.3,0,8.11,1.01,0,1.28,0,0,0,1.72,0,0,0,0,195.43,0,0,0,14.31,0,0,84.96,0,0,0
