stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0
 14-21,0,2.29,0.98,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.03,0,0,0,0,0,2.83,1.93,0,0,0,0,0
 24-34,0,0,0.62,0,0.66,0,0,0,0,1.41,0,0,0,0,0,0,9.25,0,3.06,0,0,2.35,0,7.17,0,0,0,0,0
 36-46,0,0,0,0,1.63,0,0,1.56,0,0,0,0.61,0,1.54,0,0,27.69,0,15.69,0,0,2.6,0,5.1,0,0,0,0,0
 48-58,0,1.57,0,0,11.47,0,0,3.47,0,0,0,0,0,4.75,0,0.58,80.82,0,0.63,0.67,0,0,0,8.66,0,0,0,0,3.33
 60-70,0,0,0,0,7.36,0,0,1.25,0,0,0.98,0,0,2.03,0,0,400.33,0,0.98,0,0,0,0,1.37,0,0,0,0,14.48
 72-82,0.49,0,0,0,21.77,0,0.51,0.63,0,0,0,0,0,5.39,0,2.06,484.42,7.76,1.59,0,0,0,0,15.88,0,0,2.23,0,12.11
 84-94,0,0.67,3.33,0,17.82,0,0,0,0,0,0.71,0,0,2.72,0,0.98,13.57,0,1.54,0,0,7.14,0,0,0,0,0,0.82,22.53
 96-106,0,0,0,0,12.8,0,0,2.89,2.39,0,3.24,0,0,2.81,0,0,13.18,0,0,0,0,1.8,0,0,0,0,4.23,0,9.8
108-118,0,2.99,1.96,0.61,11.09,0,0,1.36,0,0,2.55,0,3.82,2.97,0.75,2.81,1032.74,0,1.24,0,0,4.29,0,0,1.88,0,0,0,3.02
120,0,1.74,0,0,4.19,15.85,0,0,0,0,15,0,0,11.64,0,15.39,2475.55,0,17.56,0,0,0,0,5.78,0,1.95,0,0,0
