stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,7.47,0,0,0,0,0,0,0,0
 10-12,16.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,7.21,0,0,0,0,0,0,0,0
 14-21,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,2.23,8.04,1.68,1.14,0,0,0.98,0,1.89,2.59,0,1.97,0
 24-34,0,2.54,0,0,0.9,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0.78,36.24,0.7,0,0,4.26,0,0.66,0,3.56,0,0,1.18
 36-46,0,0.6,0,0,2.74,0,0,0,0,0,0,0,0,0,0,6.15,0,0,1.97,18.14,0,0,0,5.93,0,0,0,5.31,0,0,0
 48-58,0,0,0,0,4.95,0,0,2.31,0,0,0,0,0,0.58,0.88,7.56,0,0,3.33,16.87,0.39,0,0,10.41,0,0,0,6.63,0,1.43,0
 60-70,0,0,0,0,8.98,0.58,0,4.34,0,4.48,0,1.4,0,0,0,8.18,3.37,0.63,0,6.34,0,0,0,9.79,0,0,0,2.57,0,0,0
 72-82,0,0,0,0,7.65,0,0.74,1.61,0,0,0.71,0,0,0,0.87,3.61,0,0,3.2,9.45,0,0,0,0,0,0,0,0.93,0,1.7,0
 84-94,0,0.86,0,1.09,7.03,0,0,2.28,0,0,1.74,0,0,0,0,3.47,0,0,0,0.71,0,0,0,10.17,0,0,0,1.28,2.05,3.79,9.31
 96-106,0,0,1.55,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,3.78,0,0,0,0,0,0,0
108-118,0,1.75,0,5.18,14.33,0,0,0,0,0,0.78,0,0.44,4.33,0,4.21,0.71,0,0,2.34,0,0,0,5.84,0,0,0,0.69,0,0.55,0
120,0,0,0,0,20,0,0,0,2.75,0,0,0,0,0,0,2.09,0,0,0,25.72,0,0,0,2.85,0,0,0,0,0,0,0
