stage,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm
  7-9,0,0,0,0,0,0,0,4.43,0
 10-12,3.47,0,0,0,0,0,0,0,8.12
 14-21,0,0.95,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.23,0
 36-46,0,0,4.51,0,0,0,0,0.64,0
 48-58,0,0,1.84,0,0,0.41,0.72,5.2,0
 72-82,0,0,0,1.24,0,1.51,0,0,0
 84-94,0,0,0,0.79,0,0,0,0.68,0
 96-106,0,0,0,1.88,0,2.68,0,1.73,0
120,0,0,0,0,3.76,0,0,0,0
