stage,eye,glial,neural,otic,periderm,spinal_cord
 24-34,0,0,2.31,0,0,0
 36-46,0,1.87,2.63,0,2.98,0.78
 48-58,1.24,0.81,0.51,0.5,0,1.14
 60-70,5.25,0,0,0,0,0
 84-94,0,3.56,0,0,0,0
 96-106,0.81,2.45,0,0,0,0
120,5.18,0,0,0,0,0
