stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.02,302.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0
  5-6,33.5,434.74,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.28,17.13,0,16.63,0,0,78.08,0,0,0,0,0,176.46,0,0,0,0,0,0,0,0,0,0,2057.55,57.45,0,0,223.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,80.56,0,56.41,0,0,91.77,0,0,0,0,0,58.27,0,0,0,0,0,0,0,0,0,0,5556.17,113.29,0,0,424.39,0,0,9.6,0,10.01,0,0,65.21,0,0,0,0
 14-21,0,0,0,66.86,20.97,0.96,11.87,0,0,0,304.74,0.96,0,0,1.27,0,0,0,0,0,13.25,0,15.42,1276.63,42.75,0,1.25,29.6,0,1.12,0,19.19,0,1.12,16.73,1708.54,0,1.94,0,0
 24-34,0,0,0.61,15.93,2.12,0.6,33.15,8.76,0,1.02,210.92,0,0,0,0,0,0,0,4.7,0,9.5,0,3.63,2474.89,7.71,1.76,0.83,0,0,1.11,0,0,0,0,4.08,1931.84,0,8.59,0,2.6
 36-46,0,0,0,0,1.94,0,38.66,3.91,3.44,2.09,123.06,1.12,0,0,3.99,0,3.81,0,0,0,36.53,0,10.05,2457.57,2.97,3.77,0,0,0,1.95,0,0,0,0,0,2640.84,0,5.52,0,3.67
 48-58,0,0,0,0,16.35,2.6,142.88,0,0,1.28,244.67,0,0,0.69,0,13.28,0,0.48,1.18,6.51,54.83,1.17,10.61,2048.44,1.76,0.55,0,0,0,3.93,0,0,0,0,0,2229.2,0,0,0,25.61
 60-70,0,0,0,0,12.22,1.35,91.33,0.91,0,1.79,267.49,0,0,0,0,0,0,0,6.65,0,41.08,6.27,0.65,1233.06,0,0,0,0,0,0,0,0,0,0,0,961.04,0.9,0,0,3.13
 72-82,0,0,0,0,2.59,0.55,65.15,0,0,4.45,264.67,0.65,0,0,0,0,0,0,1.19,0,68.65,3.63,11.81,958.08,0.77,0,1.35,0,0,1.72,0,0,0,0,0,883.25,3.16,4.28,15.06,4.57
 84-94,0,0,0,0.57,3.23,2.82,85.62,0,0.65,0,217.85,0.91,0,0,1.2,1.56,0,0,3.65,0,39.18,2.26,0,562.57,1.18,0,1.03,0,1.01,7.61,0,0,1.73,0,0,461.92,4.73,0,0,0
 96-106,0,0,0,0,6.79,1.12,33.41,0,0,3.29,281.85,0.61,0,0.75,0.65,0.74,0,1.9,0,0,38.4,0.63,3.57,407.78,0.8,0.68,0.87,0,0,1.66,0,0,0,0,0,322.21,4.4,1.64,14.55,2.01
108-118,0,0,0,0,5.93,2.36,41.07,0,0,0,247.54,1.32,0,0.88,0,0,1.68,0.69,7.88,0,34.63,0,1.83,678.94,0,0,0,0,4.26,0.45,0,0,0.43,0,0,328.12,8.06,0.72,5.38,15.77
120,0,0,0,0,7.33,0,46.72,0,0,1.66,286.31,0,0,0,0,0,0,0,1.54,0,58.45,6.16,0,733.67,1.87,0,5.02,0,4.22,0,0,0,0,1.37,0,324.57,0,0,0,0
