stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,37.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.43,0,0,0,23.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,5.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.85,18.26,3.91,4.5,0,0,5.63,0,0,0,2.9,0,0,0,0,8.9,0,0,9.48,148.51,1.87,0,0.87,1.96,0,18.25,0,31.21,33.24,0,0.89,0,2.62
 24-34,0,0,0,1,2.82,0,17.12,1.51,0.63,8.42,0,0.8,1.26,3.09,1.14,0,0,0.78,20.91,0,0,16.02,215.25,0.81,0.86,5.38,0,2.04,0,0,6.8,43.63,0,3.47,0,0
 36-46,0,0,0,0,5.49,0,34.18,0,0,0.79,0,0,0,4.73,0,0,0,0,4.1,0,0,2.48,127.02,0,1.29,8.52,0,0.63,0,2.78,0,27.08,0,4.71,0,0
 48-58,0,0,0,0,9.69,4.47,47.36,0,0.4,30.73,0.38,0.69,1.16,0,0,0.41,0,1.35,26.07,0,0.47,4.18,82.62,0,3.55,4.37,0,6.07,0,0,0,19.92,0,5.4,0,0
 60-70,0,0,0,0,0.6,0,35,1.4,1.28,19.77,4.47,0,0,4.25,0,0,0,0,12.65,0,1.28,0.77,42.43,3.78,0,4.21,0,8.8,0,0,0,8.09,0,1.08,0,0
 72-82,0,0,0,0,1.32,0,14.4,0,0,15.46,0,0,1.52,0,0,0.86,0.64,0,24.27,0,1.32,1.23,24.78,0,3.4,0.5,0,0,0,0,0,3.6,0,2.6,0.67,0
 84-94,0,0,0,0,4.24,2.9,10.61,0.7,0,12.82,7.05,1.81,0.73,3.23,0.74,0,0,0,6.87,0,0,4.05,26.31,0,7.21,0,0,0.61,0,1.35,0,0,2.64,9.45,0,0
 96-106,0,0,0,0,7.63,0,18.98,0,0.64,11.21,2.52,1.62,2.45,2.69,0.6,0.9,14.71,0,16.3,0.68,0,2.89,30.19,0,3.66,2.5,0,2.14,0,0,0,0,0,5.8,0,0
108-118,0,0,0.92,0,4.81,1.32,17.18,0.78,0.43,34.22,3.26,1,2.85,0,0.41,0.81,0.73,0,10.87,0,0,1.48,47.5,0,0.57,1.15,0,3.59,0,0,0,3.57,0,2.07,0,0.83
120,0,0,0,0,2.59,1.11,38.74,3.13,5.27,21.16,2.28,0,4.96,3.69,0,0,0,0,19.64,0,0,2.96,94.17,2.5,2.34,0,0,1.01,0,1.14,0,0,4.13,3.52,4.69,0
