stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,125.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.66,0,0,0,0,0,0,0,0,0
  5-6,25.79,215.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.62,0,0,17.19,0,0,0,0,0,8.07,0,0,0,0,0,0,0,125.23,5.22,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.74,0,16.4,0,0,4.76,0,0,0,0,0,4.67,0,0,0,0,0,0,0,133.15,15.34,0,0,41.21,0,0,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.73,0,3.54,0,0,0,3.12,0.96,2.29,0,2.78,0,0,0,2.35,1.66,32.01,3.32,0,0,1.2,0,0,6.03,0,4.52,16.77,0,0,0,0,0
 24-34,0,0,0,0.62,4.85,0,10.77,0,0,0.63,0,0,0,0,0,0,0.77,0,10.31,3.53,94.73,1.57,0,2.01,0,0,1.45,0,0,1.35,24.16,0,0,0,0,0
 36-46,0,0,0,0,2.38,0,18.64,0,0,0,1.07,0,0,0,0,0,0,0,6.4,1.35,80.95,0,0,0,0,0,2.12,0,0,0,17.65,0,0,2.97,0,0
 48-58,0,0,0,0,0.47,0,28.54,1.11,1.6,0.44,8.1,2.21,0,0,0,0,0,0,15.5,5.07,86.39,0,0.6,0.89,0,0,2.82,0,0,0,14.84,0,0,0,0,0
 60-70,0,0,4.68,0,4.44,0,63.38,0,0,0.62,8.3,0,0,0.92,0,0,0,0.81,18.79,2.38,121.46,0,0,0.65,0,0.66,5.94,0,2.77,0,21.49,0,0,0,0,0
 72-82,0,0,0.61,0,2.68,0,47.66,0,0,0,1.82,1.65,0,0,0,0.73,0,0,16.38,0,83.24,0,0,3.24,0,0,0,0,0,0,26.51,0,0,0,1.62,0
 84-94,0,0,0,0,1.23,0.86,9.82,0,0,0.69,2.1,0.68,0,1.06,0,0,0,0,7.73,3.46,46.51,1.94,0.7,0,0,0,4.45,0,0,0,15.98,0,3.47,5.65,0,0
 96-106,0,0,0,0,3.17,6.23,43.72,0,0,1.06,4.92,0,0,0.58,0,0,0,0,2.14,0,49.42,0,1.73,0,0,0,1.49,0,0,0,3.75,1.26,0,1.35,0,4.47
108-118,0,0,0,0,2.73,0,51.34,0,0,0,1.72,0.43,0,0,0,0,0,0,7.18,1.12,60.86,0,0,0.48,0,0,2.6,0,0,0,4.63,0,0.84,1.3,0,0
120,0,0,0,0,0,0,4.69,0,0,4.69,21.8,2.77,0,0,1.63,0,0,0,29.94,2,74.58,0,5.12,0,0,0,2.17,0,0,0,23.47,0,0,0,0,0
