stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,567.56,8725.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.13,0,0,0,0,0
  5-6,336.48,4526.82,10.71,0,0,0,0,0,31.73,0,0,0,0,358.81,7.03,0,0,71.27,102.79,0,0,0,0,0
  7-9,87.81,76.5,89.11,0,0,99.33,0,0,49.02,0,0,0,0,1436.11,43.47,0,0,450.16,0,29.73,0,0,0,0
 10-12,0,12.72,34.76,0,0,51.68,0,0,11.55,0,0,0,0,327.95,10.07,0,0,133.85,0,52.79,0,19.76,0,3.51
 14-21,0,0,0.8,4.66,3.58,0,0,1,0,1.59,0,3.09,0,11.29,2.71,0.85,0,0.87,3.03,0,8,0,4.23,5.14
 24-34,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,3.48,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,1.62
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.41,0,3.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.86,4.88,0,1.1,0,1.1,0,0,4.25,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.68,1.52,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0
 96-106,0,0,0,0.57,2.61,0,0,0,0,0,0,2.11,0,0.97,0,0,0,0,1.32,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0.43,0.57,0,1.25,0,0,0,0,0
120,0,0,0,1.36,0,0,1.23,0,0,0,0,12.9,0,0,0,0,2.63,0,1.35,0,0,0,0,0
