stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0.97,7.72,0.9,1.26,6.33,0,0,0
 24-34,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0.94,0.89,3.1,0,0,0.92,21.93,0,0.83,0,0,9.55,0,0,1.29,3.23,0,0
 36-46,0,2.5,0,4.24,0,0,1.38,2.4,0,10.82,0,0,0,0,0.67,0.61,0,0,0,28.63,0,0,0,0,19.11,0,0,1.62,12.87,0,1.06
 48-58,0,0,0,8.11,0,0,0,2.79,0,0.48,0,0,0,0,0,5.64,0,0.55,0.49,53.33,0,1.25,0,0,9.53,0,0,10.95,7.44,0,0
 60-70,0,5.1,0,29.84,0.65,3.31,0,1.36,3.84,3,0.67,0,0,0,0,11.49,0,0.7,0,54.9,0,0,0,0,23.25,0,0,5.15,11.58,0,0
 72-82,0,0.49,0.81,23.08,0,0,0.94,11.26,0,1.62,0,0,0,0,1.81,14.15,0,0,0,34.53,0.73,1.28,1.68,0,18.02,0,0,8.01,14.68,0,2.01
 84-94,0,0,0.73,12.69,0,0.66,0,3.95,2.31,0,3.07,1.32,0,0,0,9.02,0,0,1.04,15.98,0,0,1.75,0,36.59,0,0,0,4.34,2.61,0
 96-106,0,1.48,0,23.83,0,0,0,10.42,1.39,0,5.21,0,2.01,0,0,13.67,0.81,0,1.26,70.76,0,2.45,0,0,61.61,0,0,0,3.4,1.33,0
108-118,0,4.54,0,9.76,0,3.77,0,8.97,4.74,0,1.97,0.59,0.56,0,0,16.75,0.98,3.52,2.41,23.02,0,0.48,0.69,0,52.29,0,0,1.42,3.86,2,2.41
120,8.68,30.45,0,4.57,0,5.63,0,25.51,1.23,6.72,13.17,0,0,0,0,38,0,2.47,0,89.97,1.1,0,0,0,59.15,0,0,0,7.19,0,0
