stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,244.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,139.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.99,49.84,21.33,34.63,0,0,0,0,41.99,0,4.48,0,0,0,18.04,0,38.32,44.44,0,0,18.91,0,0,7.6,15.58,7.21,9.97,0,0,13.6,0
 24-34,1.76,0,10.25,34.39,4.06,76.93,0,0,0.97,0,6.83,0,44,0,0,0,188.73,7.55,80.79,89.75,0,0,11.3,0,9.51,7.3,4.23,0.62,3.51,0,0,22.96,0
 36-46,0,0,0,11.21,5.85,42.99,0,0,2.47,0,2.34,0,31.63,0,0.65,1.94,270.41,15.59,82.68,45.66,0,0.94,2.42,0,2.32,3.04,2.73,0,6.38,0,0,4.93,0
 48-58,0,0,0,0,0,21.36,0,0,1.84,0,0,0,24.36,0.9,0,0,320.32,11.42,51.02,11.87,0,0,1.42,0,8.94,0,0.43,0,11.84,0,1.48,0.4,0.5
 60-70,0,0,0,2.81,0,27.21,0,0,0,2.24,0,0,5.22,0,0,2.4,400.65,7.89,59.41,25.49,0,0,2.21,0,14.18,0,0,0,4.59,0,7.93,0,0.64
 72-82,0,0,0,0.6,0,21.11,0,0,1.75,0,0,0,0.86,0,0,0,378.19,24.41,46.85,41.02,2.3,0,0,0,36.39,0,0,0,7.09,1.01,12.76,0.6,1.18
 84-94,0,0,0,1.49,0,26.33,0.56,0,8.25,0,0,0,6.75,0,0,0,238.37,39.73,33.46,9.25,0,0,1.33,0,25.83,2.16,3.84,0,12.98,1.14,23.84,0,3.26
 96-106,0,0,0,13.89,0,42.56,0,0.56,0,2.28,0.56,0,3.95,0,0,0,266.37,24.72,37.33,30,0,0.57,2.09,0,54.86,4.9,0,0,0,0,26.95,1.49,9.73
108-118,0,0,0,14.89,0,29.55,0,0.43,7.17,3.65,0,0,3.48,0,0,3.36,316.29,63.6,32.21,46.8,0,0,0.9,0,72.28,0,0,0,3.87,1.29,24.78,0,1.44
120,0,0,0,11.36,0,4.5,0,0,4.63,0,0,5.2,8.03,0,0,5.66,287.85,184.16,24.94,26.56,0,0,1.1,0,75.35,0,0,0,0,0,8.78,0,0
