stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,90.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.4,0,0,0,0,0,0,0,0,0,0
  5-6,23.92,88.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,1562.99,0,0,0,0,0,0,0,11.56,0,0,0,0,0,0,0,1051.46,0,0,0,134.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.49,1078.12,0,0,15.4,0,0,0,0,4.52,0,0,0,0,0,0,0,1738.03,13.46,0,0,356.83,0,0,0,0,3.29,0,0,14.77,0,0,0,0
 14-21,0,0,0.9,25.02,0.94,6.58,3.43,0,104.43,0,0,0,0,0,27.66,0,0,9.14,420.48,5.65,2.38,1.09,8.06,0,0,0,2.11,0,44.9,23.1,554.71,0,0,0,0
 24-34,0,0,0,9.17,1.31,18.66,25.51,0,167.82,0.68,0,2.01,0,2.14,32.3,0,0,18.41,366.3,0.75,14.47,4.59,0,0,0,0,0,5.94,5.23,0.6,478.72,0,1.06,0,0
 36-46,0,0,0,14.52,0,13.56,6.04,4.74,125.42,0,0,0.9,0,10.99,31.2,0,0,2.82,284.58,0,35.22,16.08,0,0,1.2,0,0,15.09,1.84,0,265.34,0,0,0,0
 48-58,0,0,0,2.32,0,25.47,0.91,2.14,69.04,0,0,0,0,11.96,32.15,0,0.63,1.6,98.17,0,40.67,4.07,0,1.59,1.69,0,0,1.74,0,0,152.68,0,2.33,0,0
 60-70,0,0,0,0,0,16.59,1.37,0.84,127.61,0,0,2.29,0,16.16,46.24,0,0.95,0.72,105.94,0,41.63,5.61,0,0,0,0,0,0.68,0,0,131.64,0,5.04,0,6.11
 72-82,0,0,0,3.41,0,8.79,0,1.73,103.26,0,0,0.89,0,1.6,49.46,0,1.3,2.97,122.7,0,41.51,11.85,0,0,1.08,0,0,1,0,0,46.28,1.16,0,0,3.15
 84-94,0,0,0,7.76,0,18.23,0.63,0,122.33,0,0,6.75,0,5.15,23.81,0,0,3.8,52,0,68.93,21.62,0,0,2.62,1.4,0,4.39,0,0,64.07,0,1.16,0,0
 96-106,0,0,0,4.79,1.8,23.36,1.29,7.26,114.2,2.74,0,1.3,0.71,4.53,29.86,0,0,0,53.56,0,69.57,10.9,0,0,0.61,0,0,3.52,0,0,36.77,1.58,2.48,1.85,0
108-118,0,0,0,8.31,0,9.48,1.92,6.12,97.94,0.48,0,0,0.69,0.69,28.3,1.47,0.57,0.7,62.06,0,45.85,23.76,0,0,14.72,0,0,6.12,0,0,43.55,0.42,5.79,0,0
120,0,0,0,41.38,0,9.86,1.28,0,87.04,2.35,0,0,0,0,13.82,0,0,3.83,60.15,0,32.89,27.82,0,0,10.45,0,0,2.58,0,0,20.9,0,0,0,0
