stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.61,777.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.42,0,0,0,0,0,0,0,0,0,0
  5-6,21.41,246.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.82,0,0,0,14.06,0,4.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,9.23,0,0,0,0,0,0,1.17,0,0,1.97,0,0,0,0,0
 24-34,0,0,0,0.76,2.89,0,0,0,0,0,9.07,0,1.83,0,0,0,0,0,1.24,0,0,89.12,2.51,0,0,0,0,0,0,1.85,3.81,0.74,33.16,0,0,0,0,0
 36-46,0,0,0,0,0.64,0,1.48,0.58,0,0,6.4,0,0.63,0,0,1,0,0,2.91,0,1.01,318.65,8.02,0,2.94,0,0,3.23,0,1.34,2.28,0,76.01,0,0,0,0,0
 48-58,0,0,0,0,3.72,0,7.97,0,0,0.89,32.36,0,0,0,0.44,0,0,0,3.83,0,0.85,511.48,7.49,0,5.12,0,0,5.4,0,0.61,1.3,0,117.17,0,0,0,0,0
 60-70,0,0,0.65,0,4.77,2.26,147.85,0,1.21,0,81.74,4.04,0,0,0,0,0,0,10.44,0,0.62,1214.91,7.51,0,3.53,0,0,0,0,0,1.58,0,124.98,0,0,0,0,6.81
 72-82,0,0,0,0,1.5,0,208.98,0,0,0,65.9,4.3,0,4.59,0,0,0,0,13.9,0,0,1242.66,0,0,10.76,0,0,0,0.56,1.22,3.15,0,74.72,0,0,6.51,1.19,0
 84-94,0,0,0,0,0.68,9.4,192.82,0.76,1.88,0,83.48,2.61,0.7,0,1.16,1.23,0,5.22,5.62,2.23,4.69,969.86,2.68,0.95,5.15,0,6.05,3.4,0,0,1.3,0,55.11,0.57,0,1.75,2.23,0
 96-106,0,0,1.78,0,19.49,0,166.11,0,0.59,0.72,47.77,2.75,0,0,1.37,1.63,0,0,15.23,0,0,759.36,2.33,6.59,13.46,0,0,5.68,0,0,0.6,0,45.85,0.59,0,2.17,0,0
108-118,0,0,0,0,5.92,0,141.93,0.75,0,0,69.48,1.56,0,0,3.05,0,0,0,9.15,0,0.71,753.29,3.98,0,5.44,0,0,0.99,0,2.28,1.01,0,24.63,2.95,1.68,1.93,0,0
120,0,0,0,0,44.42,0,167.57,4.43,0,0,134.78,15.8,2.29,0,0,0,3.51,0,32.25,0,8.79,1455.75,27.2,0,6.86,0,0,1.52,0,0,0,0,25.15,1.98,0,12.8,0,0
