stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,72.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.78,0,0,17.76,0,0,0,0,0,0,0,0,28.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.3,0,0,0,0,0,0,0,0,7.05,0,0,7.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,1.38,1.1,0,0.82,4.42,0,0,0
 24-34,0,0,0,0,1.77,0,0,0,0,0,0,1.91,8.89,26.67,0,0,0,0,0,0,0,0,7.14,0,0,7.65
 36-46,0,0,0,0,4,0,0,0,0,0,0,2.71,0.84,10.96,0,0,0,0,0,0,0,0,2.03,0,0.56,0
 48-58,0,0,0,0,2.71,0,0,0,0.39,0,0,2.86,0.41,2.63,0,0,0,0,0,0,1.61,0,0.6,0,0,1.77
 60-70,0,0,0,0,4.28,15.05,0.77,0,0,0,0,3.97,0,8.34,1.11,0.69,0,0,0,0,1.94,0,4.38,0,1.29,2.89
 72-82,0,0,0,0,45.2,13.7,1.77,0,3.99,0,0,6.51,0,10.7,3.73,0,0,0,0,0,3.03,0,0,0.91,0,16.73
 84-94,0,0,0.56,0,15.92,79.58,0,0,2.26,0,3.02,6.39,2.79,19.57,0,0,0,0,0,0,5.5,0,0,3.21,0,11.37
 96-106,0,0,0,0,81.21,80.91,3.51,0,8.63,1.48,0,3.2,0,23.6,0,0,0,0,0,0,0,0,0,0,0,15.29
108-118,0,0,0,0,47.16,53.15,4.15,1.09,20.39,0,0.59,15.16,0,6.63,0,0,0,3.93,0,0,0,0,0,0.63,0,9.05
120,0,0,0,2.38,23.77,76.52,0,0,12.21,0,1.96,5.27,0,2.96,0,0,0,0,0,0,0,0,0,0,0,4.33
