stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4,0,0,0,0,0,0,0,0,0,65.63,0,19.54,0,0,0,0,0,0,0
 10-12,12.84,0,0,0,0,0,0,0,0,0,0,0,13.99,0,3.79,0,0,0,0,0,0,0
 14-21,0,1.44,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,2.97,0.86,3.83,0,0,0
 24-34,0,1.5,4.26,0,0,0,0,0,0,0.6,2.24,0,38.07,0,0,0,0,0,2.85,0,0,0
 36-46,0,0,1.69,0,0,0,0.58,0,0,0,0.61,0,20.79,0,0,0,0,0,15.93,0,0,0
 48-58,0,1.91,7.04,0,1.26,0,0,0,0,0,2.01,0,38.13,0,0,0,0,0,11.42,0.41,0,0
 60-70,0,0,15.68,0,4.29,0.84,0,0,0,0,1.73,0,69.09,0,0,0,0,0,20.7,0,0,0
 72-82,0,0,5.63,0,3.02,0,0,0,0,0,0,0,17.69,0,0,2.25,0,0,0,0,0,4.46
 84-94,0,0,4.07,0,0,0,0,0,0,0,0.91,0,14.97,3.11,0,0.59,0,0,0,0,1.66,0
 96-106,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.26,0,0,0.75,1.31,2.82,8.14,0,24.51,0,0,1.03,0,0,0,3,0,0
120,0,0,13,1.92,0,0,0,0,0,0,2.48,2.76,72.64,3.15,0,6.03,0,0,0,0,0,0
