stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,57.58,1459.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.52,0,0,0,0,0,0,0
  5-6,140.7,2205.13,0,6.55,0,0,0,0,0,0,0,41.07,0,0,0,0,0,0,0,140.24,40.58,0,0,47.65,38.12,0,0,0,0,0,0,0
  7-9,36.5,18.73,0,38.3,0,0,45.77,0,0,0,0,40.17,0,0,0,0,0,0,0,692.43,14.03,0,0,216.95,0,0,0,0,0,0,0,0
 10-12,3.8,18.81,0,22.42,0,0,37.11,0,0,0,0,5.49,0,0,0,0,0,0,0,270.39,3.67,0,0,128.48,0,9.34,3.69,3.11,0,0,0,0
 14-21,0,0,1.41,0,21.91,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,4.2,4.78,0,0,0,0,0,0,1.11,0.94,0,0,0
 24-34,0,0,0,0,14.77,0,0,0,0.7,0,0,0,0,0,0,87.53,0,0,0,15.25,29.32,0,0,0,0,0,0,0,0.78,0,0,0
 36-46,0,0,0,0,0.63,0,0.63,0,0,0,0,0,0,0,0,30.97,0,0,0,4.18,22.68,0,0,0,0,0,0,0,1.82,0,0,0
 48-58,0,0,0,0,5.87,0,1.8,0,4.26,0,0,0,0.54,0,0,8.07,1.37,1.66,2.23,1.59,1.82,0,0,0,0,0,0,0,0.56,0,0,0
 60-70,0,0,0,0,5.18,0,1.93,0,28.32,1.13,0,0,9.33,0,0,62.32,15.73,0,0.92,4.37,6.39,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.58,0,36.34,0,5.59,0.54,1.55,1.91,4.33,0,0.55,0.58,0,25.17,164.54,17.81,0,10.71,0.53,0,0,0,0,0,0,0,0,0.58,0,0
 84-94,0,0,0,0,37.38,0,5.86,0,12.25,0,4.02,0,0,0,0,1.18,44.51,4.87,0,12.93,2.03,0,0,0,0,0,0,0,0,2.28,0.66,1.14
 96-106,0,0,0,0,41.39,2.84,3.25,0,23.5,0,2.2,0,0.74,0.89,0,13.04,28.49,6.68,0,23.98,0,0,0,0,3.16,0,0,0,0,5.38,0,0
108-118,0,0,0,0,26.09,0,3.24,0,10.15,0,0.42,0,0,1.13,0,20.25,56.07,0.44,0,26.12,0,0.52,0,0,0,0,0,0,0,3.23,0,0
120,0,0,0,0,32.66,0,0,0,0,0,2.06,0,0,0,1.69,0,29.72,8.32,0,4.37,0,0,1.28,0,0,0,0,0,0,1.83,0,0
