stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.42,0,0,0,0,0,0,0,11.27,0,0,6.6,0,0,0,0,0,0,0
 10-12,0,0,7.48,0,0,0,0,0,0,0,0,0,0,31.11,0,0,12.38,0,0,0,0,0,0,0
 14-21,0,40.9,38.26,2.44,0,0,0,0,0,48.41,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0
 24-34,0,33.18,4.22,0,0,0.63,0,0,0,16.95,0,0,0,3.02,0,0,0,0,5.01,1.14,0,0,0,0
 36-46,0,15.81,0.96,1.16,0,0,0,0,0,37.42,0,0,0,6.96,0,0,0,0,2.06,1.93,0,0,0,0
 48-58,0,10.68,0,0,0,0,0,0,6.87,41.96,0.39,0,0,4.09,0,0,0,0,2.11,0,0,0,0,0
 60-70,0,6.12,0,0,0,8.86,0,0,26.31,64.49,0,0,0,9.23,0,0,0,1.23,6.13,0,0,0,0,0
 72-82,0,23.58,0,0.62,5.63,3.2,0,0,53.05,108.34,1.13,1.39,0,20.79,0,0,0,0,4.27,0,0,0.91,0,6.66
 84-94,0,29.42,0,0,19.07,22.53,0,0,115.82,212.57,1.95,0,0,35.33,0,0,0,8.32,7.94,0,0,1.84,0,0
 96-106,0,23.41,0,0,9.95,17.78,0,16.21,107.01,110.67,2.13,0,0,35.31,0,2,0,2.93,6.34,0,0,0.65,0,1.4
108-118,0,32.32,0,1.82,31.87,5.43,0.59,0,51.46,143.17,4.02,0,0,31.76,0.63,0,0,0,14.58,0,0.68,2.31,3.76,0
120,0,15.43,0,0,6.91,2.99,0,0,62.17,128.37,0,0,4.81,21.15,0,0,0,0,3.56,0,0,0,0,0
