stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.18,19.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.01,38.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,53.4,27.11,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.14,7.96,0,5.46,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,243.53,339.06,0,0,79.7,0,3.1,8.97,0,3.9,0,0,0,0,0,0,0
 14-21,0,0,0,63.51,2.82,0,0.87,0,0,0,0,0,0,1.28,0,0,0,26.86,0,0,16.77,22.33,66.11,0,1.07,3.96,0,1.15,0,5.75,0,0,1.91,45.11,0,3.33,0,0
 24-34,0,0,0,62.03,3.49,0,9.27,5.12,1.52,0.74,0,0,0,0,0,0,0,75.58,0,0,60.45,12.64,21.99,0,2.15,0,0,4.07,0,0,0,0,11.81,21.88,0,4.14,0,0.75
 36-46,0,0,0,106.83,0,1.73,34.72,25.89,4.25,0,0,1.4,0,9.69,0,0.68,10.68,132.05,1.35,0,56.8,21.08,17.94,0,1.63,0,0,26.48,0,0,0,0,0,14.53,0,0,0,0
 48-58,0,0,0,42.26,0,7.23,23.26,30.01,8.3,0,0,0,0,0,0.41,0.45,0,164.21,0,2.77,22.56,16,17.43,0,4.17,0,0,46.98,0,0,0.38,3.08,0,14.84,0,0.45,0,0
 60-70,0,0,0,22.56,0,8.12,10.91,26.28,0.69,0,0,0,4.06,0,0,0,0,261.95,0,2.9,12.91,3.85,9.55,0,6.68,0,0,6.68,0,0,0,0,0,3.18,1.51,0,0,0
 72-82,0,0,0,15.33,0.82,15.77,0.79,8.96,0.86,0,0,0,0,0,0,0,0,201.68,0,7.92,8.25,3.54,0.69,0,3.09,0,0,2.22,0,0,0,0,0,0,4.94,0.96,2.21,0
 84-94,0,0,0,19.38,7.12,2.6,3.28,13.87,0,0,0,0,0,0.55,0,0,0,134.97,0,0,5.24,0.71,5.09,0,0,0,0,1.78,0,0,0,0,0,0,2.17,2.73,6.05,0.88
 96-106,0,0,0,5.99,0,0,1.92,7.34,0,0.72,0,0,0,0,0,0,0,82.43,0,1.16,11.57,1.4,0.58,0,0.87,0,0,3.09,0,0,0,0,0,0,6.17,0,3.34,0
108-118,0,0,0,2.95,0,1.55,2.09,4.13,0,0,0,0,0,0,0,2.96,0,41.68,0,0,1.13,3.03,0.51,0.59,2.09,0,0.87,0.44,0,0,0,0,0,0,1.53,0,1.49,0
120,0,0,0,10.03,0,1.11,0,1.52,7.92,0,0,0,0,0,0,0,0,28.62,0,0,1.81,0,2.23,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
