stage,blastomeres,epidermis,glial,gut,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,vasculature
  3-4,26.84,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.03,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.91,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.87
 24-34,0,0,0,0,0,0,0,0,4.46,0,0
 36-46,0,0.84,0,0,0,0.75,0,0,2.26,0,0
 48-58,0,0,0,0,0,0,0.78,0,0,0,0
 60-70,0,0,0,0,0.98,0,1.27,0,9.91,0,0
 72-82,0,0,1.54,0,0,0,0,2.79,3.25,0,0
 84-94,0,0,0,0,3.54,0,0,0,4.96,0,0
 96-106,0,0,0,1.31,2.83,0,3.44,0,5.3,0,0
108-118,0,0,0,0,1.02,2.5,3.18,0,15.41,0,0
120,0,0,0,0,7.8,0,12.95,0,1.29,0,0
