stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,17.05,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.96,0.93,0,0,2.21,0.83,1.09,0
 24-34,0,0,0,1.65,0,0,0,0,1.95,0,0,0.82,0.61,1.17,11.09,0,0,0,0,0,0,1.86,0
 36-46,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,7.06,0,0,0,0
 48-58,0,0,0,5.7,0,0,0,0,0,0,0,2.99,0,0,3.56,0,0,0,0,0,0,0.62,0
 60-70,0,0.8,0,10.83,0,0,0,0,0,0,0,0,0,0,8.62,0,0,0,2.03,0,0,2.13,0
 72-82,0,0,0,8.28,0,0,0,0,0,0.82,4.28,0,0,0,5.19,0,0,0,0,0,0,0,0.76
 84-94,0,0,0,2.14,0,0.7,0.69,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0.69
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.24,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1.23,0,0,4.91,0,0,0,0,10.52,0,0,0,0,9.98,0,0,0,0,0,0,0,0
