stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,taste,visceral.smooth.muscle
  3-4,0,53.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0
  5-6,8.38,144.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62,0,0,0
  7-9,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,10.45,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72,0,0,0,0,0,0,0
 14-21,0,0,0.89,0.85,0,0,0,0,0,0,0.96,0,1.94,0,0,0,0,0,0,0,0,0.9,0,0
 24-34,0,0,3.68,0,0,0,0,0,0,0,2.02,1.89,3.58,2.47,0,17.52,0,0,0,0,6.03,0,0,0
 36-46,0,0,1.85,0,0,5.92,0,0,0,0,0.61,1.17,5.09,2.82,0,25.53,0,0.6,0,0,15.79,0,0,0
 48-58,0,0,4.24,0,4.28,0,0.89,0,0,0,3.89,1.91,4.44,2.7,0.78,6.91,0,0,0.51,0,20.13,0,0,0
 60-70,0,0,9.51,0,0,0,0,0,0,0,0,1.53,15.48,1.48,0,20.53,0,0,0,0,25.03,0,0,0
 72-82,0,0,3.44,0,0.55,0.5,2.65,0,0.84,0,0,1.65,8.09,8.26,0.59,6.18,0,0,0.71,0,18.08,0,1.69,0
 84-94,0,0,6.33,0,0,0.84,0,0,0,0.75,1.74,7.79,6.45,5.52,0.98,11.13,0,0,0,0,24.44,0,0.78,3.29
 96-106,0,0,14.71,0,0.56,0.76,2.73,0,0,0.73,0,8.71,6.12,23.93,0,11.47,0,1.18,3.08,0,74.68,0,3.97,2.17
108-118,0,0,15.16,0,0,3.27,0,0.84,1.19,0,5.7,1.95,27.29,11.18,1.57,22.1,0,0.83,0.99,0,40.45,0,0.43,0
120,0,0,19.12,0,0,8.38,0,0,4.06,0,4.36,2.96,39.62,9.73,0,35.92,0,3.68,0,0,99.04,0,0,0
