stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.9,6.02,1.95,0.99,0,0,0,0,0,0,0,4.01,0,0,0.98,0,0,0,3.09,0.98,0,0,0,0,2.6,2.07,0,0,0,0
 24-34,0,0,0,6.08,1.28,0.61,0,0,0,0,0,0.74,1.13,22.97,0,0,0,0,0,3.87,8.49,0,0,0,0,0,0.68,0,0,0,0,0
 36-46,0,0,0,0,12.01,0,0,3.68,0,0,0,0,0,40.49,0,0,0.99,1.27,0,0.58,19.84,0,0,0,0,0,0,5.3,0,0,0,0
 48-58,0,0,0,4.74,11.75,12.19,0,0.54,0,3.44,0,0,0,51.6,7.23,0,7.12,1,0,0,25.39,0,0,0,0,0.68,0,3.79,0,1.19,0,0
 60-70,0,0,0,3.32,13.89,6.29,0,0,1.21,3.92,0,0,0,84.3,0,1.72,4.96,0,0,0,22.34,0,0,0.64,0,0,0,0.73,0,0.85,0,4.73
 72-82,0,0,0,7.09,168.65,2.24,0,4.73,0,60.81,2.92,0,0,82.16,0,0,16.34,3.11,2.23,0,36.47,2.53,0,0.72,0,0,0,1.59,0.62,12.28,0,0
 84-94,0,0,0,6.82,147.28,1.07,0,0,0,88.67,1.16,0,0,182.15,0,0,10.66,5.09,0,0,20.67,0,0,0,0,0,0,0,0,9.72,0,0
 96-106,0,0.87,0,19.32,235.42,5.98,0.64,4.93,0,90.68,16.07,0,0,209.08,0.99,3.03,18.79,6.96,1.37,0.57,31.33,0.63,0,0,25.6,0,0,0,0,2.27,0,0
108-118,0,0,0,4.26,123.2,1.46,0,1.88,0,105.99,8,0,0,202.2,0.88,0,7.21,0,0,1.8,33.36,1.83,1.22,0,0,0.45,0,0,0,19.88,0.95,0
120,0,0,0,9.04,127.49,0,0,1.05,0,140.61,28.55,0,0,179.3,0,0,7.32,0,0,1.46,36.86,0,0,0,0,0,0,0,0,6.58,0,0
