stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,309.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.08,368.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,10.04,19.45,0,0,0,0,0,0,0,0,0
  7-9,0,12.91,11.45,0,0,0,28.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.88,0,0,0,44.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.49,0,9.23,0,27.98,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,318.73,15.74,0,0,53.56,0,0,5.19,0,5.96,0,0,0,0,0
 14-21,0,0,0,14.97,1.24,0,1.67,0,0,0,1.19,1.38,0,0,0,0,0,0.92,0,0,3.68,0,0,14.5,0,1.08,0,0,6.1,3.68,0,0,6.25,6,0,0.93,0,2.62
 24-34,0,0,0,5.93,0,0,2.83,0,0.85,0,0,0.63,0,0,0,0,0,0,1.68,0.64,3.79,0,0,25.09,0,0,1.31,0,8.07,0,0.7,0,0.6,12.55,0,0.69,0,2.56
 36-46,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0.77,0,0,0,1.23,1.35,2.52,0.75,19.89,0,2.82,2.36,0,28.21,0,0,0,0,4.57,0,1.27,0,0.66
 48-58,0,0,0,3.39,1.12,0,6.17,0,0,0,2.36,0,0,1.77,0,0.46,0,0,0,0.54,1.19,1.53,1.01,20.46,0,0,1.77,0,14.07,0,0,0.46,0,5.77,0,1.09,0,0
 60-70,0,0,0,6.71,0,0,6.37,1.67,12.92,0,0,0,0,0,0.98,0,0,0.73,0,0,6.39,0,0,14.64,0,3.88,9.91,0,9.66,0,0,0,0,0.72,0,3.18,0,0
 72-82,0,0,0,5.82,0,0,6.28,0,0,0,3.93,0.54,0,0,0,0.63,0,1.56,0,0,2.38,3.39,0,3.47,0,2.62,4.42,0,10.17,0,0.53,0,0,0,0,1.13,0.77,0
 84-94,0,0,1,7.05,0,0,11.87,0,0,0.71,3.03,1.03,0,0,0,2.8,0,0.61,0,0,3.56,2.59,0,10.03,0,0,0.67,0,19.84,0,2.59,0,0,0,0.61,0,0,4.6
 96-106,0,0,0,6.9,8.5,0.72,1.91,0,1.22,0,2.89,0,0,0,0,0,0,0.83,0,0,0,3.44,0,9.12,0,0,2.26,0,11.72,0,0,0,0,0,7.28,0,0,0
108-118,0,0,0.49,7.47,1.01,0,0,0,3.17,0,0,2.45,0,0,0.49,0.51,0.44,0.65,0.44,0,3.37,0,0,14.09,0.42,0,2.9,0,11.7,0,0.54,0,0,3.49,0,0,0.65,0
120,0,0,0,5.46,0,0,3.87,0,1.14,0,1.16,0,0,0,5.25,0,0,0,0,0,6.69,0,0,14.37,4,3.25,0,0,10.26,0,2.89,0,0,0,0,2.42,0,0
