stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.38,0,0,0,0,0,0,18.67,0,0,0,0,6.53,0,0,0,6.6,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,5.59,5.04,0,49.89,0,0,0,0,0
 10-12,0,5.06,0,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,2.99,0.96,0,1.24,0,0,0,0,4.16,1.88,8.16,0,1.97,0,121.57,1.07,38.73,0
 24-34,0,0,0,0.76,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0.75
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.51,1.92,1.67,0,0,5.92,0,0,0,0
 48-58,0,0,0,0,0,0.5,0,5.6,0,0,0,0.42,0,1.47,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,9.78,0,0,0,0,3.42,0,0,0,0,1.08,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.29,4.04,0,0,0,2.99,0,1.1,7.54,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0.83
108-118,0,0,0,0,0,1.23,0,0,0,1.04,0,0,0,0,1.42,0,0,0,0,0,0,0
