stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,9.84,5.33,0,12.46,0,0,0,1.09,1.21,0,0,0,0,0,0,0,7.72,0,0,5.94,86.99,1.24,0,0,1.06,0,4.5,9.91,0,0,13.93,290.58,0,0,0,0
 24-34,0,1.84,0,0,11.89,0,0,0,2.84,0.61,0,0,0.73,1.21,0,0,0,9.47,0,0,4.87,434.48,4.05,0.74,0,0,0,6.76,0,0.63,0,1.52,1112.25,0,0,4.54,0
 36-46,0,1.58,6.32,0,20.3,6.02,0,1.84,3.96,0,0,0.68,0.98,0,0,0.87,3.69,4.54,0,0,1.53,555.7,0.66,2.42,0,0,0,6.16,0,0,0,0,1531.84,0,0,2.05,0
 48-58,0,0.85,0,0,35.3,2.02,2.11,0,3.78,1.02,0.48,0,0,0,1.39,0,0,9.28,0,0,2.48,622.53,1.81,2.21,0,0,0,13.02,0,0,0,0,1152.49,0,0,0.83,6.96
 60-70,0,0.8,0,0,50.27,0,0,1.48,7.4,0.77,0,0,0,2.84,0,0,0,29.7,0,5.32,0,294.83,0,0.67,3.49,0,1.62,2.98,0,0,0,0,585.66,0,0,0.87,0
 72-82,0.64,11.26,0,0,46.69,2.65,0,0,12.4,0.7,0,0,0,0.52,0.68,0,0,16.43,1.76,0,2.08,510.18,0,0,1.09,0,0,5.84,0,0,0,0,422.21,0,0,0,0
 84-94,0,9.35,0,0,16.05,0,1.52,1.7,4.92,0.73,0,0,4.2,0,0,0,0,5.85,0,0,0,202.51,0,0,0,0,0,17.59,0,0,0,0,231.96,0.81,0,2.66,0
 96-106,0,2.49,0,0,23.22,0,0,0,12.39,1.2,0,0,0.59,0,1.11,0,0,12.11,0,0,0,133.26,0,0,0,0,0,31.19,0,0,0,0,294.98,0,0,4.01,0
108-118,1.03,1.12,0.69,0.61,22.69,0,0,0,8.22,1.42,0,0,10.03,1.32,0,2.42,0,12.28,0,0,0.75,149.36,0.85,0,1.57,0,0,39.64,0,0.64,0.47,0,137.49,0,2.03,0,0
120,0,64.48,0,0,189.68,0,0,0,5.35,2.51,0,0,2.54,0,0,0,0,9.38,0,0,2.62,281.69,0,0,2.84,0,0,27.93,0,0,0,0,290.61,0,0,3.13,0
