stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,27.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.93,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,9.56,0,0,0.86,0,0,6.2,0,0,2.95,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,2.75,0.77,0,0,0.75,8.21,6.96,0.63,3.57,0,0,15.08,0.87,4.79,0.71,0,0,0
 36-46,0,0,4.38,0,0,12.48,0,0,3.27,0,0,0,0,0.68,0,4.29,0,0,0,13.67,10.89,0,12.46,0,0,1.69,0,0,0,0,1.83,0
 48-58,0,0,1.03,0,0,11.5,0,0,11.58,0.99,0,0,0,0,8.57,3.06,0,0,0,11.51,2.42,0,9.86,0,0,3.3,0,0,14.25,0,0.74,0
 60-70,0,0,4.17,0,0,55.13,0,0,39.54,6.4,0,0,0,0,7.8,7.55,0,0,0,16.21,0,0,14.45,0,0,0,0,0,14.93,0,0,0
 72-82,0,0,0,0,1.04,46.13,0,0,62.77,26.59,0,0,0,0,42.32,20.68,0,1.07,0,30.67,1.29,0,21.01,0,0,1.5,0,0,15.54,0,2.69,0
 84-94,0,0,5.4,1.76,0,99.66,0,1.38,74.47,45.07,1.16,0,0.7,0,45.72,23.64,0,0,0,31.21,0.9,0,29.41,5.19,1.4,5.26,0,0,18.75,0,0,2.54
 96-106,0,0,2.52,0,0,114.75,0.65,4.2,67.28,38.4,1.52,0,0,0.58,49.08,23.44,0,0,0,11.38,0,0,47.08,0,0,1.93,0,0,9.29,4.54,8.11,0
108-118,0,0,4.68,0,0,117.82,0,0,67.57,35.49,0,0.49,0,0,20.65,15.22,0.43,0,0.63,26.41,2.3,0,47.94,0,0,1.71,0,0,17.47,0,2.57,0
120,1.12,0,6.18,0,0,41,2.08,0,75.48,70.2,13.51,0,0,0,13.46,11.86,0,0,0,42.94,0,0,55.99,0,0,0,0,0,0,0,0,0
