stage,epidermis,gut,neural,periderm
  7-9,0,0,8.84,0
 48-58,1.29,0,3.69,0
 60-70,0,0,1.27,0
 84-94,2.48,0,0.57,0.95
 96-106,0,0.76,1.97,0
108-118,0,2.77,0,0.41
120,0,14.79,0,2.18
