stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.19,43.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.89,4.03,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.59,0,0,10.37,0,0,0,0,11.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.66,292.57,0,0.87,0,0,0,0,0,24.45,1.15,0,0,0,0,0,0,1.37,11.9,2.82,0,0,0,6.72,1.26,6.31,0,0,1.85,2.33,0,0,444.09,0,0
 24-34,0,0.83,0,0,1.54,33.21,0,3.86,0,0,0,0,0,81.03,0,1.27,0,0,6.45,0,0,1.78,49.58,3.87,0,0,0,56.09,0,0,2.28,0,3.11,8.55,0,0,1558.39,0,0
 36-46,0,0,0,0,3.49,2.17,0,8.84,0,0,0,0,0,71.24,0,0,0,0,1.71,0.77,0,1.47,61.62,2.4,0,0,0,136.91,0,0,0,0,0,10.5,0,0,1057.81,0,0
 48-58,0,0,0,0,0,0,0,10.27,0,0,0.56,7.78,0,109.88,0.94,0.92,0,0,1.47,0,0,0.67,47.74,0,0.7,0,0,37.37,0,0,0,0,0,18.11,0,0,925.23,0,0
 60-70,0,0,0,0,0,4.64,0,19.89,0,0,0,1.61,0,97.83,15.96,1.61,0,0,3.17,0,0,0,26.16,0,0,0,0.71,63.21,0,0,0,0,0,7.36,0,0,741.16,0,0
 72-82,0,0,0.62,0.64,7.34,3.71,0,22.25,0,1.91,2.63,3.01,6.62,136.64,0.61,0.56,0.64,0,11.12,0,0,0,31.85,0,1.98,0,0,29.23,0,0,0,0,0,0.93,4.35,0.84,1350.92,0,7.44
 84-94,0,0,0.73,0,12.56,0,0,8.79,0,0,0.77,0.98,1.29,89.91,5.18,0.58,0,0,25.43,0,0,0,19.27,0,0.88,0,0,33.86,0,0,0,0,0,0,5.43,1.27,1154.41,0,0
 96-106,0,0,6.89,0,64.15,14.64,0,21.01,0.58,8.34,2.23,3.45,1.52,153.71,1.64,3.34,0,0,31.84,0,0,0,41.58,0.96,1.06,0,0,34.04,1.35,0,2.81,0,0,0,9,0,1579.08,2.23,0
108-118,2.12,0,8.22,0,20.47,13.16,6.19,10.21,0,1.57,0,3.11,12.41,58.43,1.32,0.63,0.78,0.6,29.19,0,0.93,0.45,15.44,0,4.63,0,0,51.3,0,0,4.05,0.51,0,0,14.95,0,1316.27,0,0
120,0,0,0,0,31.41,0,0,18.69,0,1.45,6.71,0,1.62,94.15,4.75,0,0,0,27.85,5.1,0,0,81.49,0,0,0,0,29.63,0,0,0,0,0,2.39,2.84,0,1458.71,0,0
