stage,blastomeres,eye,mesenchyme,neural,olfactory,spinal_cord,xanthophores
  5-6,7.95,0,0,0,0,0,0
 14-21,0,0,2.8,0,0,0,0
 24-34,0,0,0,0,0,0,0.63
 36-46,0,0,1.71,3.25,0.75,0,0
 60-70,0,1.98,0.67,3.92,0,0.84,0
 72-82,0,0,0,3.08,0,0,0
