stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.1,0,50.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.73,1.41,1.92,0,0,0,0,1.09,0,0,0,5.67,0,0,0,0,0,9.6,0,0,19.56,5.39,16.65,0,0,0,25.53,0,7.17,0.89,11.2,1.11,0,0,0,0,0
 24-34,0,0,0,5.97,0,0.7,0,0,0,0,0,0,0,60.84,0,0,0,0,0,42.5,0,0,13.16,12.59,0,0,0,0,11.18,0,0,1.59,0.64,4.6,0,0,12.6,0,0
 36-46,0,0,0,3.97,0,0.65,1.33,0,0.81,5.99,0,0,0,167.74,0,0,0,0,0,62.98,0.79,0,5.12,19.93,0,0,0,0,18.5,0,0,1.81,0,4.04,0,0,44.96,0,0
 48-58,0,0,0,0.38,0.46,2.04,0,2.05,1.05,8.99,0,0,0,181.9,0,0,0,0.48,0,162.32,0,0,11.43,43.99,0,0,0,6.32,6.63,0,0,2.72,0,3.8,0,3.54,12.81,0,0
 60-70,0,0,0,12.46,0.59,7.24,0.65,0,9,13.56,0,0,0,209.92,0,0.68,0,0,0,417.21,0,5.54,7.02,82.03,0,0,0,5.86,15.47,0,0,9.36,0,7.29,0,37.93,3.25,0,0
 72-82,0,0,2.64,11.07,0,46.7,0,0,25.52,18.83,0,0.6,5.33,237.28,0,0,0.61,0,0,831.42,0.74,16.97,36.76,137.28,2.85,0,0,17.4,4.44,0,0,5.47,0,21.11,0,75.83,9.08,6.62,1.6
 84-94,0,0,3.12,24.52,0,31.6,0,0.89,21.98,6.39,0,0,3.82,399.55,1.37,0.79,0,0,2.55,802.81,0,5.35,17.65,99.03,0,0,0,10.43,15.7,0,0,0,0,13.75,0,44.93,7.67,5.32,0
 96-106,0,0,0.88,13.49,5.39,35.26,2.09,3.02,9.3,17.65,2.4,0,19.16,338.79,0,2.7,1.17,4.24,0,976.98,2.39,33.27,27.75,158.9,0.7,0.65,0,15.46,2.12,0.76,0,3.9,0,4.53,3.37,94.97,17.08,26.37,0
108-118,0,0,1.59,29.66,0,26.27,1.25,1.62,8.36,7.58,4.17,0,14.4,308.23,0,7.42,0,4.08,0,1051.22,0,22.86,20.69,178.52,0.44,0.63,0,19.45,15.05,0,0,5.74,0,17.78,0,58.54,9.26,15.18,0
120,0,7.01,0,40.08,12.15,31.41,0,0,10.78,1.76,0,0,18.64,412.53,0,0,0,0,0,629.81,0,62.16,10.98,210.77,0,0,0,21.9,9.37,4.99,0,0,0,11.37,1.27,56.44,3.87,23.1,0
