stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,118.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,301.38,0,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.75,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,199.5,13.11,0,0,74.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.84,0,65.08,0,0,0,3.98,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,432.13,12.46,0,0,201.25,0,0,0,38.39,0,7.48,3.28,0,0,0,0,0
 14-21,0,0,0,6.92,14.24,9.64,0,12.6,0,0,0,2.12,0.85,0.87,1.52,0,1.76,0,0,1.47,0,10,0,0,23.97,192.81,12.64,2.39,1.67,3.91,0,4.94,38.47,0,0,26.04,60.08,0,0,1.79,0,3.56
 24-34,0,0,0.8,0,7.71,0.85,0,15.21,0,1.04,0,3.58,0,0,0.68,1.52,1.38,0,3.21,0.69,1.65,28.14,0.63,0,31.73,260.35,1.63,5.42,1.33,0,0,4.33,0,0,0,6.47,50.81,0,0,14.27,0,3.18
 36-46,0,0,0,0,1.74,0,0,54.4,0,2.74,0,6.43,0,0,0,0,0,0,0,1.5,10.56,19.22,0,0,2,191.22,0.74,6.56,1.33,0,0,5.18,0,0,0,0,61.14,0,0,18.44,0,0
 48-58,0,0,0,0,5.21,0.68,0,38.18,0,0,0.85,10.78,0,0.37,0.54,0.42,0,0.85,2.05,12.94,0,31.32,1.06,1.52,5.14,145.25,0,0.77,0,0,0,11.71,0,0,0.95,0,33.67,0,0,6.23,0,2.41
 60-70,0,0,0,0,1.83,1.27,0,46.88,2.44,0,13.63,16.7,0,0,0.6,3.82,5.42,0.78,0,0,0,46.41,0,1.89,2.29,149.33,1.03,1.92,1.12,0.81,1.44,15.36,0,0,0,0,24.28,1.22,2.39,8.93,0,8.82
 72-82,0,0,0,0,14.09,4.08,0,39.19,0,0.65,1.3,14.6,2.01,0,0,1.86,0,0,0.6,0,0,38.33,0,2.2,3.95,132.65,0,1.41,1.1,0,1.77,4.89,0,0,0.5,0,16.66,0,1.26,5.49,1.31,12.75
 84-94,0,0,0,0,5.07,8.6,0,30.33,0,0.58,0.85,14.67,0.57,0,0,1.53,0,0,2.13,0.57,2.56,23.72,1.01,0,3.35,114.2,0,0.83,0,0,0,5.13,0,0.74,0,0,25.48,0,1.25,5.15,0,4.92
 96-106,0,0,0,0,7.42,11.46,0,37.86,0,1.03,2.46,38.17,2.1,0,0,4.22,1.12,5.93,0.75,0,0,68.22,2.97,2.88,6.48,130.8,0,4.37,0.78,0,0,12.27,0,0.82,0,0,9.19,3.18,0,5.11,2.33,8.67
108-118,0,0,0.8,0.61,3.08,5.09,1.62,24.72,0,0.48,2.49,15.24,7.3,0,0,2.06,0.47,1.03,0,0,0,35.42,0,0.79,2.03,84.53,0,0.42,0.69,0,0,1.56,0,0,0,0,3.65,0,0,7.79,0,2.17
120,0,0,0,0,9.41,1.08,0,33.5,0,0,0,3.21,1.32,0,0,1.43,2.78,0,0,0,0,32.23,0,0,7.19,79.56,1.38,17.39,0,0,0,2.46,0,0,0,0,16.53,0,0,0,0,0
