stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.7,0,13.42,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,11.13,0,0,0
 14-21,0,0.9,1,0,0,0,0,0,0,0.83,0,5.21,1.29,0,0,1.03,0,1.65,0,0
 24-34,0,1.71,0,0,0,0,0.76,0,0,7.28,1.22,22.72,0,0,0.65,0,0,7.05,0,0
 36-46,0,0,2.09,0,0,0,0,0,0,0,0,22.94,0,0,0,0,0,0,0,0
 48-58,0,5.85,3.03,0,0,0,0,0,2.1,0,0.39,28.57,0,0,1.04,0,0,1.92,0,0
 60-70,0,3.29,1.28,0,0,0,0,0,0,8.26,5.2,36.09,0,0,2.79,0,0,1.73,0,0.7
 72-82,0,0,2.59,0.94,1.98,0,0,0,0,0,0,13.27,0,0,0.53,0,0,5.79,0,0
 84-94,0,0,0,0,0.82,0,0,1.03,0,5.02,0,1.3,0,0,1.22,0,0,5.56,0.77,0
 96-106,0,1.77,0,0,0,0,0,0,0,1.25,0.79,0,0,0,0,0,0,0,0,0.58
108-118,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1.11,0,5.14,0,1.52,0,0,0,17.35,4.59,34.8,0,0,1.89,0,0,0,0,2.15
