stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.66,136.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,83.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,10.1,0,0,13.59,0,0,0,0,0,0,0,0,0
 10-12,0,13.52,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,61.89,29.44,0,0,80.31,0,0,5.68,0,0,0,0,0,0
 14-21,0,0,0,2.15,2,6.29,0,4.27,0,0,0,3.39,2.17,0.98,0,0,12.67,0,0,4.33,0,6.56,0,0,2.8,18.42,1.74,0,0,3.66,0.92,19.39,1.67,20.02,24.33,22.18,0,2.02,0
 24-34,0,0,0,0,2.07,0,0,4,0.68,0,1.22,0.82,0,0,3.19,0,32.12,0,0,0.66,0,6.34,0,0,11.1,51.34,0,0,3.98,0,0.99,0,2.43,7.71,10.27,14.09,0,9.04,0
 36-46,0,0,0,0,0,0,0,4.21,6.33,0.85,1.84,1.69,0,0,2.56,0,22.76,0.86,0,1.34,0,2.1,2.19,0,2.62,56.19,0,0,2.11,0,0,0,0,1.76,0,4.86,0,8.55,4.42
 48-58,0,0,0,0,0.41,0,0,8.89,1.06,0,0.98,1.74,0,0,0,0,9.91,0,0,0,1.46,12.24,1.38,0,2.85,20.65,0,0.53,0,0,0,0,0,2.9,0,5.12,0.37,6.63,1.32
 60-70,0,0,0,0,0,0,0,11.52,0.6,0,1.34,0.6,0,0,0,0,4.26,4,0,0,0,3.26,0,0,5.27,24.63,0,0,1.47,0,3.49,0,0,0.66,0,4.18,0,1.73,0
 72-82,0,0,0,0,0,0,0,10.89,1.61,0,0,1.39,0,0.55,0,1.07,15.46,1.26,0,0,0,13.87,1.46,0,0.51,7.82,0,3.73,0.78,0,1.13,0,0.66,5.43,0,0,1.07,4.34,0
 84-94,0,0,0,0,0.66,0,1.09,7.38,1.92,3.48,0,0,3.61,0,0,4.23,9.96,0.88,0.78,0,0,9.33,0.64,2.74,0.93,8.42,0,0,5.03,0,3.46,0,0,1.85,0,7.58,0,10.69,0
 96-106,0,0,0.9,0,0.6,0,0,4.57,1.18,0.81,0,3.73,0,0,0,1.79,8.77,3.44,0,0,0,5.05,0,0,0,5,0,0.94,4.78,0,0.73,0,0,0.82,0,6.41,0,3.93,0
108-118,0,0,0,0,0.51,0,2.85,4.07,3.51,1.88,0,0,2.16,0,0,1.13,15.88,9.5,0,0,0,1.68,3.79,0,1.1,10.4,0,0,4.14,0,2.14,0,0.55,0,0,0,1.11,15,0
120,0,0,0,0,0,0,0,0,6.47,6.92,0,3.29,2.55,0,0,0,7.56,4.74,0,0,0,0,7.47,0,1.15,11.27,0,0,0,0,0,0,4.58,0,0,0,0,26.97,0
