stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0
  5-6,25.48,47.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.76,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.51,0,0,0,25.53,0,0,10.28,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,22.06,2.6,0,8.05,0,0,0,0.84,0,0,0,0,0,0,0,0,13.18,0,0,4.93,47.58,0,0,1.32,0,0,0,0,0.94,0,5.07,14.15,0,0,1.41,0,0
 24-34,0,0,1.23,166.51,2.74,0,19.37,0,5.05,0.62,8.53,0,6.24,0,0.68,1.94,0.96,0,0,70.62,2.19,0.69,23.12,149.47,0,0.78,24.08,0,0,16.17,0,0,1.59,1.26,21.21,0,0,95.75,0,0
 36-46,0,0,0,104.72,0,0,8.72,0,4.25,2.81,16.67,2.36,1.57,0,2.88,0,9.98,0,1.22,178.92,0,3.8,32,110.49,2.13,1.19,23.14,0,0,40.71,0,0,7.21,0,11.5,0,5.35,128.84,3.88,1.65
 48-58,0,0,0,77.29,0,0,12,0,8.14,9.75,15.24,1.42,2.78,2.44,0,0,6.78,0,4.24,531.95,2.66,8.37,54.2,65.53,1.36,0,31.74,0,0.81,33.16,0,0,0,0,8.29,0,2.87,77.38,0,0
 60-70,0,0,0,55.41,0,0,35.33,0,5.06,9.91,33.9,3.47,1.77,8.04,0,0.76,6.58,1.2,3.47,729.38,0,24.54,57.85,70.44,0,0,14.91,0,3.8,45.43,0,0,0.59,0,7.36,0,4.7,63.8,0,7.26
 72-82,0,0,0,36.39,0.49,0,42.14,1.33,4.88,22.34,81.52,1.34,9.64,1.81,2.8,0,23.73,0.96,3.77,1357.67,0,48.33,71.4,52.6,0,0,45.42,0,14.17,43.68,0,0,0.57,0,14.4,0,13.23,82.35,10.86,13.99
 84-94,0,0,0,76.31,0,0,74.79,0,14.77,13.4,60.56,2.49,9.36,8.43,2.35,3.37,12.44,0,7.15,1020.6,2.31,57.12,64.87,53.08,8.2,0,39.36,0,4.09,93.81,0,0,13.22,0,5.57,0,22.69,122.07,1.87,0
 96-106,0,0,0,87.61,0,1.07,47.98,0.9,8.85,25.86,85.95,4.36,7.4,5.76,14.84,0,30,11.6,0,1025.74,1.64,62.3,66.07,124.49,0.73,4.51,73.82,0,20.04,59.49,0,0,4.65,0,14.11,1.45,15.39,153.62,9.7,4.12
108-118,0,0,0,100.74,2.61,0,40.04,0,11.97,24.83,86.23,4.43,13.93,2.17,2.47,18.78,16.17,0.6,9.16,1411.63,0,42.27,47.98,71.91,0,2.83,83.91,0,17.82,61.68,0,0,5.79,0,7.12,1.52,16.31,132.06,5.74,3.06
120,0,0,0,172.78,0,0,23.4,0,3.95,25.95,108.53,9.14,12.33,7.69,5.85,0,12.13,0,0,1199.43,2.91,67.94,25.98,43.31,1.57,16.36,95.76,0,16.5,71.72,0,0,3.83,0,11.49,3.31,0,119.61,0,0
