stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.03,13.83,0.83,0,0,0,0,0,0,0,0,2.19,0,4.47,43.84,0,0,0,0,1.08,6.04,16.05,0,0,0,0,0
 24-34,0,9.63,2.31,0,0,2.86,0,3.45,0,0,0,11.81,0,2.24,204.46,0,0,0,0.73,0,0,47.36,0,0,1.49,0,0
 36-46,0,1.24,7.99,0,0,3.26,0,0,0,0,0,12.14,0,2.12,233.42,0,0.69,0,12.9,0,0,46.68,0,0,1.51,0,0
 48-58,0,6.22,22.94,0,1.34,12.72,0,0,2.34,1.39,0,27.4,1.95,3.93,492.06,5.65,0,0,0,0,0,107.75,0,0.42,2.41,0,0
 60-70,0,5.17,61.59,0,0,16.51,0.69,0,0,0.79,0,24.9,3.45,0,369.44,1.76,0,0,4.36,0,0,45.45,0,0,1.75,0,0
 72-82,0,0,41.92,0,0,8.04,0,0,0,2.82,0,41.48,4.32,0,188.23,0,0,0,0.49,0,0,26.12,1.21,1.25,0.68,1.57,3.13
 84-94,0,7.13,22.12,4.17,0,16.64,0.68,0,0,0,0,25.34,0,3.45,94.18,0,0,0,0,0,0,22.8,0,0,6.41,0,0
 96-106,0,0,19.14,0,0,2.65,0,0,0,0.75,7.1,32.08,0,2.1,83.02,0,0.57,0,0,0,0,10.79,0,0,6.55,3.4,0
108-118,0,5.34,14.77,0.61,0,6.56,0,0,0,0,0,30.46,4.85,0.92,123.49,0,0,0.76,0,0,0,9.63,0,0,4.17,0.61,0
120,0,7.48,32.62,0,0,19.84,0,0,3.86,1.84,0,22.31,4.76,1.93,180.74,0,0,0,0,0,0,0,0,0,0,10.58,0
