stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.44,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,23.07,28.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,50.78,15.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,5.18,0,0,0,0,0,0,0,0,0,29.45,0,0,8.67,73.54,28.26,0,0,0,0,5.63,0,0,0,0,0
 24-34,0,0,11,0,14.61,0,0,6.84,0,0,0,0,0,1.94,100.37,0,0,20.79,228.94,0.69,0,0,0,0,26.12,0,0,0,0,0
 36-46,0,0,5.66,0,15.21,0,1.57,10.06,0,0,0,0,16.36,0,142.77,0.56,0,19.62,273.56,2.85,0,0,0,0,68.35,0,0,0,0,0
 48-58,0,0,4.45,0,46.57,0,5.68,14.03,0,0,0,0,0,0,143.43,0,0,13.6,350.3,0,0,0,0,2.45,46.05,0,0,1.82,0,0
 60-70,0,0,4.37,0,135.47,0,7.01,30.24,0,0,0,0,0,0,189.75,0,0,5.28,358.39,0,1.15,0,0,0.69,44.48,0,0,0,0,5.27
 72-82,0,0,4.36,0,83.74,0,2.04,32.82,0,0,0,0.69,0,0,167.71,0,0,6.03,412.56,0,0,0,2.41,0,34.19,0,0,0,0,1.14
 84-94,0,0,8.21,0,122.42,10.84,4.07,21.13,0,0,0,0,0,0,225.84,0,5.86,9.5,360.37,0,0.56,0,0,0.69,28.23,0,5.14,0,0,0
 96-106,0,0,2.12,9.48,102.93,0,5.38,44.23,0,0.91,0,0,0,0,126.55,0,0,4.55,296.8,0,0,0,0,0,8.79,0,2.07,1.32,0.68,0
108-118,0,0,10.33,0,168.36,0,1.92,33.52,0,0,1.62,1.43,0,0,147.89,0,0,9.15,333.99,0,0,0.48,0,2.98,1.61,0.89,0,0,3.31,4.35
120,0,0,2.93,0,85.46,0,2.59,80.78,0,0,0,0,0,0,135.2,0,0,0,227.74,0,0,0,0,0,6.05,0,0,0,0,0
