stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.35,1488.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.07,0,0,0,0,0,0,0,0,0,0
  5-6,14.28,546.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,21.31,29.89,0,0,0,71.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.24,12.61,0,0,138.44,0,0,19.66,0,0,0,0,0,0,0,0,0
 10-12,0,12.15,62.36,0,11.07,0,113.28,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,837.56,10.97,0,0,245.74,0,5.07,15.66,0,50.26,0,0,0,0,0,0,0
 14-21,0,0,1.89,13.98,4.75,0,13.65,0,0,0,12.78,1.09,0,0,0,0,0,0,0,0,16.93,0,7.25,253.78,5.89,0,0.88,12.56,0,1.18,2.22,11.96,3.55,0,3.93,65.55,0,1.83,0,0
 24-34,0,0,1.03,7.77,1.73,0,38.13,0,0,0,9.06,0,0,1.45,0,0.75,4.05,0,0,0,35.6,0,11.43,384.66,0,0,3.08,0,0,5.16,0,0,0,0.78,0.77,74.48,0,3.7,0,0
 36-46,0,0,0,3.05,4.73,0,48.46,0,0,1.65,15.01,0,0,0,0,0,0,0,0,0,25.15,0.8,4.2,201.6,0,0.79,0.58,0,0,0.83,0,0,0,0,0,44.1,0,5.12,0,1.02
 48-58,0,0,0,3.8,0,0,87.53,0,0.52,0.41,13.72,0,0,0,0,0,0,0,0,0,27.55,3.52,10.5,88.97,1.16,1.78,0.48,3.66,0,0.56,0.65,0,0,0.38,0,13.79,0,3.54,0,0
 60-70,0,0,0,2.06,0,0,49.01,0,1.42,2.95,8.51,0.63,0,0,0,0,0,0,0,0,22.75,5.46,4.45,59.95,0,4.18,0.83,0,0,0.94,0,0,0,0,0,0,0,4.2,0,2.5
 72-82,0,0,0,1.05,0,0,25.15,0,3.52,0.49,14.53,1.38,0,0,1.16,0.7,0,0,0.79,0,23.62,0,1.24,35.04,0,0.63,0.69,0,0,0,0,0,0,0,0,5.41,0,1.01,0.53,0
 84-94,0,0,0,1.83,0,0,15.97,0,0.62,0,16.41,0,0,6.54,0,0.55,0.88,0,0,5.55,52.51,0,6.38,30.28,0.6,1.56,2.06,0,1.68,0.59,0,0,0,0,0,3.97,2.14,4.49,2.34,4.7
 96-106,0,0,0,4.34,0,0,43.94,0,0,1.73,19.58,0,0,0,0.57,0,0,3.16,1.06,0,23.24,1.41,1.58,31.63,0,7.07,1.59,0,3.62,0.67,0,0,0,0,0,0.94,0,4.17,0.91,0
108-118,0,0,0,1.79,0,0,22.77,0.52,0,1.36,19.12,0,0,0,0,0.77,0.83,0,0.73,0,12.53,5.57,1.48,60.9,0,4.8,0.74,0,0.95,1.45,0,0,0.43,0,0,0,0,11.88,0,0
120,0,0,0,3.96,0,1.6,24.66,0,0,0,26.64,0,0,0,2.52,0,1.17,4.16,0,0,33.71,0,9.69,106.78,0,13.67,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0
