stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,0,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,109.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.32,0,0,0,0,0,0,0,0,24.67,0,0,3.49,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,10.6,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.89,0,5.84,0.95,0,0,0,1.37,1,1.7,0
 24-34,0,0,0,1.29,0,0.67,0,0,0.65,0,0,25.64,0,0,0,0,0,0,2.33,0
 36-46,0,0,0,0,0,0.62,0,0,0,0.64,0,12.42,0,0.78,0,1.45,0,0,0.98,0
 48-58,0,0,0,0,0,0.79,2.04,0,0,0,0,6.99,0,0,0,0,0,0,1.66,0
 60-70,0,0,0,0,0,11.93,1.45,0,0,0.74,0.76,2.18,0,0,0,0,0,0,0.88,0.69
 72-82,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.55,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.66,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.57,3.48,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0
