stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0
 10-12,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,13.03,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,7.4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,0,1.12,0,0
 48-58,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,1.98,13.41,0,0,0,0
 60-70,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,1.7,0,0,2.31,16.05,0,0,0,0
 72-82,0,0,1.99,0,0,0,0,1.09,1.93,0,0,0,3.28,5.17,0,0,0,14.27,6.91,3.43,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.23,0,0,0,0,7.37,0,0,0,1.88,38.45,8.08,0,0,0
 96-106,0,0,0.91,3.6,0,18.04,2.1,0,21.6,0.96,0,0.77,0,90.07,7.26,1.11,0,31.33,31.5,5.31,1.71,5.55,0
108-118,0,0,1.09,2.32,1.29,9.95,1.69,5.29,24.87,0,1.36,0,0,282.48,4.02,0,2.89,37.74,16.82,15.21,6.13,0.87,5.51
120,2.37,0,6.62,0,0,0,0,0,33.61,0,15.82,0,0,120.18,2.69,0,0,30.08,3.04,12.68,0,0,0
