stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,ionocyte,lateral.line,mesenchyme,neural,notochord,periderm,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.8,109.89,0,0,0,0
 24-34,0,0,0,0,1.76,0,0,0,0.93,0,7.68,188.73,0,2.18,0.68,0
 36-46,0,0,0,0,1.18,0,0,0,0,0,3.64,204.37,0,0,0,0
 48-58,0.39,0,0,0,4.48,0,3.05,0.39,0,1.75,8.38,190.8,0,0,0,5.97
 60-70,0,0,0,0,2.57,1.8,0,0,0,0.69,4.33,117.5,0,0,0,0
 72-82,0,0,0,0,1.2,1.73,0,0,0,0,2.26,47.02,0,0,0,0
 84-94,0.62,0,0,0,3.68,0.58,0,0,0,0,1.18,91.13,0,0,0,0
 96-106,0,0,0,0,1.88,0,0,0,0,4.27,2.91,71.18,0,0.78,0,0
108-118,0,0.56,0.54,1.38,0,2.29,0,0,0,1.72,2.7,68.1,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,75.27,0,0,0,0
