stage,blastomeres,epidermis,eye,glial,gut,heart,lateral.line,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.44,4.19,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,1.01,4.76,0,0,0,1.11,0
 24-34,0,0,0.6,0,0,0,0,0,0,11.29,0,0,0,1.91,0
 36-46,0,0,0.74,0,0,0,0,0,0,6.26,0,0,0,0.69,0
 48-58,0,6.51,0.48,0,0,0,0,0,0,5.71,0,0,0,0,0
 60-70,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,5.17,0,0,0.56,0,0.72,0,3.71,0,0,0,0,0
 84-94,0,0,0.65,0,0.56,0,0,0,0,2.07,0,0,0,0,1.38
 96-106,0,0,7.87,0,0,0,0.78,0,2.12,2.36,0,0,1.48,0,0
108-118,0,0.48,0.91,0.62,0,0,0,0,4.03,0,0,0,0,0,0
120,0,0,0,0,1.73,0,0,0,0,14.02,0,0,0,0,0
