stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.89,0.82,23.67,3.17,0,2.12,0,0,0,3.28,2.55,89.13,0,0,0,0.93,0,60.36,0,0,117.6,93.32,156.81,0,1.21,15.77,0,13.6,1222.51,0.82,6940.04,10291.01,14.45,0,0,1.09,0,0
 24-34,0,0.71,16.3,3.32,0,7.82,805.06,0,1.48,4.91,0,88.67,0,0,0,0,7.38,26.57,0,0.81,174.92,181.51,30.22,1.25,0,0,0,12.21,14.28,0,2182.08,2397.12,39.12,0,0,8.83,0,0
 36-46,0,0,2.52,0,0,21.96,2482.09,0,0.75,14.8,0,68.74,0,0,0,0,0,19.87,0,0,213.47,175.34,17.09,3.52,8.42,0,0,21.67,25.67,0,2251.15,120.6,37.37,0,0,21.58,0,1.57
 48-58,0,0,9.94,0,0,82.36,1557.17,0.55,2.35,23.28,0,38.59,0,0,0,0,9.15,25.17,0,0,447.11,296.97,3.91,0.44,0.38,0,0,4.16,0,0,1254.64,0.83,88.04,0,2.37,1.06,0,17.84
 60-70,0,0,0,0,0,53.71,754.65,0,9.08,6.61,0,27.45,0,0,4.25,0,0,13.86,1.83,0,321.3,133.42,1.13,0,0,4.05,0,7.65,0,0,443.81,0,14.48,0,0,0,63.11,0
 72-82,0,0,3.3,11.97,0,50.86,547.13,0,3.19,9.15,1.92,7.03,0.58,0,0,0.96,0,24.26,0,7.28,279.07,99.48,1.92,0,3.79,2.25,0.83,3.48,0,0,232.5,0,5.19,0,2.6,3.21,135.86,0
 84-94,0,0,3.23,11.72,0,30.48,473.95,0,0,2.62,0,21.1,0,0.58,0.7,7.45,5.22,16.72,0,0,150.54,40.73,0,0,0,0,0,5.06,0,0,233.86,0,8.05,0,7.68,1.63,134.65,7.23
 96-106,0,0,2.9,13.65,0,68.61,548.57,4.33,0,13.18,0,48.4,1.43,0.83,2.14,0,3.61,14.82,0,9.5,285.79,52.75,0.97,0.75,0,2.41,0,8.55,0,0,317.58,0,7.18,4.54,1.22,2.94,285.28,8.19
108-118,0,0,0,2.5,0,27.43,274.09,0,0,0.66,0,29.46,0.67,0.51,0,0,1.53,3.73,0,1.29,200.41,33.61,0,0,0.98,8.11,0,2.2,0,0,118.81,0,0,0,0,0,81.23,0.5
120,0,7.01,3.09,5.25,6.33,18.72,288.08,0,1.04,13.19,0,28.82,0,0,0,0,0,3.16,0,0,210.85,95.64,0,0,0,0,0,1.65,2.24,0,51.24,0,0,0,0,0,66.37,0
