stage,epidermis,eye,glial,mesenchyme,muscle,neural
 48-58,0,0,0,0.55,0,1.03
 72-82,0,3.02,0.77,0,0,4.23
108-118,0,0,0,0,1,0
120,1.28,0,0,0,0,0
