stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0
  7-9,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0
 10-12,14.63,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,13.47,0,0,0,0,0,0,0
 14-21,0,0,2.24,1.1,0,0,0,0,0,0,0,17.67,0,0,0,0,0,1.26,2.45,0,0,0,0
 24-34,0,0.82,2.72,2.28,0,0,0,0,3.73,0,0.82,21.19,5.86,0,0,0,0,0,0.66,3.9,0,0,0
 36-46,0,2.75,0,3.88,0,0,0.6,0,0,0,0,55.58,0,2.34,0,0,0,0,0,2.87,0,0,0
 48-58,0,0,0,8.47,5.2,0,0,0,0,0,0,79.14,0,0.89,0,0,0,0,0,6.81,0,0,0
 60-70,0,0.58,0,12.11,9.67,0,0,0,0,0,0,113.26,0.66,0,1.26,0,2.95,0,0,7.66,0.61,0,0
 72-82,0,0,5.65,37.55,9.29,0,0,0,5.39,0.49,0,132.33,0,0,0,0,0,0,0,7.57,2.4,0,0
 84-94,0,0.64,0,45.73,1.45,2.78,1.22,0,2.15,0,0,90.63,0,0,0,0,0,0,0,5.65,0,2.3,9.33
 96-106,0,0,15.84,29.36,3.43,0.74,0,0,8.03,0,1.11,75.82,0.7,0,0,0,0,0,0,1.99,1.04,0,8.27
108-118,0,0.42,0,61.7,5.51,4.3,0,1.65,4.5,0.69,1.43,126.96,1.9,0.77,0,0,3.51,0,0,0,2.16,0,0
120,0,0,0,102.04,0,0,0,0,6.45,0,0,271.78,0,0,0,0,0,0,0,12.11,1.66,0,0
