stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,87.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.38,0,0,0,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.22,0,0,0,258.18,0,0,0,0,40.56,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,7.12,13.71,0,8.18,0,0,0,6.24,0,0,0,0,0,0,0,0,41.87,0,0,16.23,142.72,4.22,0,4.17,23.62,0,0,0,20.47,0.9,1.91,19.55,87.51,0,0,11.86,0,0
 24-34,0,0,0,4.01,4.84,0,4.51,0,0,1.5,6.64,0,4.59,0,0,0,0,0,0,89.99,0,0,50.43,124.88,0,0,0.64,0,0,0,0,0,3.69,0,1.74,30.73,0,0,95.6,0,0
 36-46,0,0,0,0.68,0,0,6.24,3.29,0,2.48,40.44,0,2.77,2.12,0,0.62,0,0,0,121.32,0,0,60.71,82.47,1.69,0,0,0,0,0,0,0,0.88,0,0,25.8,0,0,100.37,0,0
 48-58,0,0,0,2.59,0,0,23.85,0,0.39,15.15,83.25,0,2.62,0,0,0.5,0,0,0,175.03,0,0,46.67,102.51,0,0,0.9,0,0,0,0,0,4.21,0,0,68.63,0,0.64,67.36,0,0
 60-70,0,0,0,2.4,0,0,29.52,0,2.11,3.67,268.44,0,6.22,0,0,2.41,0,0,0,345.49,1.01,9.15,29.62,77.28,0,0,1.79,0,10.54,1.14,0,0,3.55,0,0,55.28,0,9.42,47.92,0,0
 72-82,0,0.79,0,3.39,0.58,0,59.94,0,0,3.41,309.04,1.1,6.19,0,0,0,0.79,0.96,0,373.09,0,10.15,21.68,95.31,0,0,21.55,0,15.27,0.85,0,0,3.37,0,0,23.92,0,14.01,139.14,11.44,0
 84-94,0,3.01,0,4.98,4.12,0,27.55,0,0,8.78,195.45,0,3.82,2.27,0.73,0,0,0,0,291.51,0,7.39,22.32,45.02,0.56,0,8.96,0,10.89,2.55,0,0,0,0,0,14.61,0,6.45,119.83,6.3,0
 96-106,0,0,0,7.08,10.34,0,20.65,3.31,0,7.84,184.13,0,5.61,1.14,0.81,0.67,0,1.72,0,345.38,0,22.65,19.56,98.7,0,2.09,5.77,0,18.66,2.48,1.14,0,1.5,0.6,0,12.12,4.84,17.45,140.47,9.53,0
108-118,0,0,0,2.74,3.09,0,22.94,0.54,0,2.44,270.14,0.43,5.57,0.9,3.65,1.73,1.4,2.47,0.68,352.59,0,19.48,16.99,91.64,0.44,0,9,0,35.87,0.51,0,0,2.13,0,0,4.81,0,4.01,114.96,10.9,4.37
120,0,0,0,4.51,0,5.97,27.05,0,0,10.13,456.62,0,5.56,3.24,7.01,1.58,4.13,0,1.61,338.35,1.56,24.98,16.18,80.84,0,0,5.18,0,38.84,4.52,2.5,0,0,0,0,19.18,0,7.24,201.66,19.19,0
