stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,spinal.cord
  5-6,36.71,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,2.07,0,0,0.82,0,0.85,0.83
 24-34,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,6.17,0,0.93
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,0,0
 60-70,0,0,0,0,2.47,0,0.98,0,1.23,0,0,0,0.57,0.78,0,0,0
 72-82,0,3.37,0,0,0,0.86,12.59,0,1.68,0,0,0,0,0,14.24,0,0
 84-94,0,0,0,1.39,0.62,0,9.99,1.93,1.66,0,0,4.31,0,0.56,2.9,0,0
 96-106,0,1.07,0,0,8.19,0,40.02,0,2.85,0,0,2.22,0,0,21.9,0,0.64
108-118,0,0,0.42,0,1.18,1.93,51.41,0,4.66,0,0,1.01,0,0,14.73,0,0
120,0,0,0,0,0,0,120.69,0,0,1.84,8.27,14.81,0,0,6.48,0,0
