stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.22,1505.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.15,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.16,685.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.47,8.7,0,0,10.04,0,15.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.8,0,0,0,16.5,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,153.95,0,0,0,61.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,75.57,0,0,0,19.94,0,0,0,0,38.32,0,0,0,0,0,0,0,0,0,0,0,425.53,28.96,0,0,90.97,0,0,9.73,0,27.45,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,4.97,168.92,10.3,0,12.85,0,0,2.7,5.74,12.74,1.26,0,2.99,0,0,0,0,43.21,0,0,18.2,188.05,29.24,3.52,7.07,2.47,0,49.3,3.19,14.24,18.42,6.5,11.48,50.48,0,0,1.01,0,2.38
 24-34,0,0,0,4.96,73.05,1.3,0,68.17,4.84,3.64,16.99,0.92,0.74,1,5.25,4.6,0.63,1.87,2.01,0.66,115.57,2.24,0,48.24,652.84,16.61,7.22,15.89,0,1.61,70.99,0,2.55,28.48,0,4.84,107.88,0,0,31.15,0,4.01
 36-46,0,0,0,0,45.91,0,0,122.09,10.34,5.73,26.04,9.93,0,0.6,0,5.4,9.5,2.58,1.69,23.8,128.84,5,1.18,27.73,558.04,7.28,17.73,6.26,0,0,147.09,0,0,52.47,0,0,97.62,0,0,14.71,0,36.84
 48-58,0.39,0,1.49,0.43,20.91,0,0,234.79,8.05,11.71,84.98,0,0.41,1.14,9.23,0.78,0.54,3.42,2.5,5.28,182.42,7.12,5.84,20.87,566.48,5.96,6.98,4.82,0,0.45,45.54,0,2.72,9.29,1.48,0,103.03,0,0,11.46,0,16.12
 60-70,0,0,1.22,0,23.94,0,0,339.91,4.42,6.96,74.43,4.86,0,0.77,5.56,0,0.66,6.16,2.79,4.16,220.03,7.35,7.56,14.5,565.59,3.57,6.79,8.43,0,2.16,43.84,0,0,19.71,0,0,40.21,2.13,0,5.87,0.64,17.17
 72-82,0,0,4.56,2.53,15.46,0.59,3.87,341.92,7.2,20.07,83.12,6.36,0,2.3,10.61,5.12,9.2,9.34,3.29,13.97,241.26,10.45,13.13,14.15,455.33,2.02,24.75,21.93,0,0,21.51,1.65,0,6.02,0,0,32.05,6.94,5.63,19.18,0.62,20.19
 84-94,0,0,9.59,3.3,29.06,0,3.8,202.76,9.36,23.06,95.51,15.11,1.2,10.35,13,5.34,8.72,16.28,5.24,10.74,209.33,12.18,7.64,21.38,332.8,2.72,18.86,12.8,0,4.58,48.04,0,0,25.29,0,0,30.78,4.77,14.11,23.26,3.28,15.48
 96-106,0,0,4.97,3.59,38.53,0,1.07,184.32,6.75,9.84,56.3,14.81,0,1.76,13.62,8,4.52,10.51,17.19,8.87,180.06,4.45,8.24,12.11,308.06,3.2,28.19,21.82,0,0,38.45,0,0,23.02,0,0,8.87,12.86,2.97,41.26,11.66,7.13
108-118,0,0,4.97,4.19,24.76,2.18,16.81,140.62,3.26,7.35,60.49,24.2,0,2.1,11.95,9.33,5.66,9.88,14.1,3.35,171.66,2.87,4.94,6.82,311.76,4.41,17.96,17.07,0,2.89,41.37,0.48,0,23.87,0,0,8.97,14.13,4.88,23.36,3.81,13.93
120,0,0,1.43,1.27,48,5.55,1.03,101.14,2.53,10.49,69.47,10.11,0,6.8,6.19,3.65,8.39,0,0,0,145.69,3.25,9.7,17.46,450.92,4.26,19.29,4.53,0,0,24.31,0,0,21.49,1.63,0,23.39,3.62,6.92,15.72,8.22,0
