stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.85,0,11.97,0,6.14,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,58.23,0,0,0,23.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,42.42,50.79,0,401.36,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.62,8.92,0,0,89.64,0,0,0,1096.92,0,0,0,0,0,0,0
 14-21,2.16,0.87,13.75,691.79,0,2.31,0,0,0,1.24,7.75,0,0,0,0,0,0,0,0,28.3,0,0,35.47,59.4,3.13,0,0,2.18,0,1.67,9.95,1.73,0,7.34,28.77,0,2.01,0,0
 24-34,0,0,1.32,71.43,0,4.39,0,0,0.64,0,0,0,0,0,1.67,0,0,0,0,8.83,5.99,0,3.38,83.15,0,0,0.96,0,0,0.7,0,0,0,2.48,15.25,0,5.15,0,0.79
 36-46,0,0,0.67,8.48,0,15.44,1.31,3.69,0.6,4.3,0,0,3.15,0,0,0,0,0,4.8,8.57,0,1.29,2.17,108.04,0,0,0.97,0,0,0,0,0,0.67,0,18.83,0,0.63,0,0
 48-58,0,0,8.97,1.13,0,20.15,1.71,4.55,3.47,11.83,0,2.63,0,0,0,0,0.38,0,0.59,12.68,0,0,1.25,98.41,0,4.29,0,0,0,1.3,0,0,0,0,18.42,0,7.7,0,0
 60-70,0,0,0,0,0,25.28,0,4.17,0.63,4.3,0.62,0,0.79,0,0,0,0,0,0,24.52,0,2.99,3.52,103.86,0,0,1.03,0,0,2.87,0,0,0,0,8.28,0.84,0,0.64,8.99
 72-82,0,0,0.72,1.04,0,49.38,0,0,4.2,10.12,0,0,2.83,0,0,0,0.92,0,0,34.55,1.96,6.72,0,102.48,0.52,0,1.74,0,0,3.23,0,0,0,0,4.4,0,3.97,1.24,0
 84-94,0,0,2.6,2.7,1.52,9.79,0,0,0.83,1.69,0,2.77,2.63,0,0.64,0,0,0,0.72,15.71,0,0,0,64.41,0,0,3.51,0,0,0,0,0,0,0,0,0,0,1.34,0
 96-106,0,0,3.6,0,0,5.14,0,0,0,5.19,1.35,0,0.71,0.57,0,2.23,2.32,0,0,31.13,0.68,0,6.24,45.41,0,0.67,0.64,0,0,2.25,0,0,0,0,4.06,0,5.31,0,0
108-118,0,0,2.52,0,0,14.09,0,0,0,17.83,0,0,0,0.62,2.15,3.04,0,0,0,32.95,0,0,3.91,34.65,0,0,5.88,0,0,8.09,0,0,0,0,5.03,0,7.85,0,0
120,0,0,3.29,0,0,21.04,0,0,0,0,0,0,1.15,0,0,0,4.13,3.42,0,16.41,0,2.4,6.26,87.24,0,1.09,5.55,0,4.48,0,0,12.14,0,0,0,0,3.65,0,0
