stage,mesenchyme,muscle,neural,paraxial.mesoderm,somites
  7-9,0,0,0,14.85,0
 10-12,0,0,7.43,22.71,0
 14-21,0,3.84,3.63,0,8.87
 24-34,0.65,0,1.41,0,1.31
 36-46,0.92,0,0,0,0
