stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,8.23,0,0,0,0,0,0
 10-12,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,5.03,0,0,0,0,0,0
 14-21,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.67,0,0,0
 36-46,0,0,1.9,0,0,1.79,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0.56,0,0,0,4.01,0.39,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.57,0,0,0,0,0,0,3.21,0,0,0,0,0,36.29,0,1.93,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0
 72-82,0,1,1.84,0,0,3.6,2.76,0,0,91.21,0,0.56,0,0,0,0,0,6.84,0,0,0,17.81,0,0,0,0,2.01,0.7,7.59,0,0,0
 84-94,0,0,2.05,0,0,13.6,0,0,7.3,219.48,0,0,0,0,0,0,0,10.89,0,3.16,3.45,18.35,0,0,1.27,0,0,2.51,6.78,0,1.85,0
 96-106,0,7.68,3.68,3.23,0,52.97,4.4,1.49,7.87,843.52,5.01,3.16,0,0,1.42,0,0.68,13.77,5.46,0,0.78,237.39,0,0,0,0,4.67,5.27,0,0,5.61,0
108-118,0,1.52,2.79,6.37,1.17,20.72,3.21,0,11.26,1997.22,0,1.16,4.6,3.91,0.87,3.16,0,19.91,0,0,0.55,228.25,0,0.86,0.82,0,0,3.61,3.54,2.26,0.99,10.8
120,0,0,2.83,0,3.13,66.26,0,0,0,2127.76,0,0,0,0,0,57.67,0,21.86,0,0,0,564.54,0,0,0,0,0,3.22,9.81,0,0,0
