stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.1,26.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,43.44,0,0,0,3.52,0,4.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.27,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,56.36,0,0,0,20.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.62,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0,0,4.3,0,1.26,0,0.99,3.9,0,0,0,0
 24-34,0,0,0,0.77,0.77,0,1.92,0,0,3.59,0,0,0,1.43,0,0,4.26,0,0,0.77,45.53,0,1.32,0,0,6.28,0,0,0,0,8.32,0,0,4.26,0
 36-46,0,0,0,0,0,0,3.91,1.12,0.57,0,0,0,0,0.61,0,9.1,4.09,0,0,0.55,67.74,0,0,0,0,10.54,0,0,0,0,9.84,0,0,5.87,0
 48-58,0,0,0,0,5.92,0,18.86,0.44,0,11.01,0,0,8.53,0,0,0,10.5,0,0,0.73,31.23,7.64,0.87,0,0,3.6,0,0,0,0,12.74,0,0,0,0
 60-70,0,0,6.75,0,3.93,0,19.85,0,0,10.54,0,2.38,3.06,9.12,1.29,0,5.34,0.73,0,0,53.53,0,2.51,5.19,0,1.31,0,0,0,0,23.66,0,0,9.69,0
 72-82,0,0,0,0,1.35,0.5,7.82,1.07,0,3.38,1.3,0,3.37,0,0,0,13.36,0,1.63,0,53.63,0,0,0.69,0,1.08,0,0,0,0,4.38,0,0,2.44,0
 84-94,0,0,0,0,3.84,0,2.52,0,1.27,10.39,3.22,0,0,1.7,1.95,2.48,4.71,0,0,2.1,26.7,0,2.81,1.31,0,3.51,0,0,0,0,0,0,0,5.32,0
 96-106,0,0,1.04,0,1.26,0,7.64,0,0.92,3.74,0,0,0,0.73,0,0,2.26,0,0,0,11.64,0,0,0.87,0,1.73,0,0,0.62,0,2.51,1.26,0,2.57,0.74
108-118,0,0,0,0,3.43,0,13.83,0,0.43,12.58,6.45,0,1.09,0.89,0,0,25.33,4.46,0,0.55,22.97,0,4.46,0,0,3.64,0,0,0,0,0,1.26,0,1.94,0
120,0,0,0,0,10.1,0,1.65,1.39,0,2.12,0,0,2.29,0,0,0,29.12,0,0,0,59.48,0,2.88,0,0,10.38,0,0,0,0,0,0,1.54,0,0
