stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,214.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.35,0,0,5.47,0,0,0,78.29,0,14.7,0,0,0,0,0,0
 10-12,21.88,9.24,0,7.27,0,0,0,0,0,0,105.71,0,76.06,0,0,6.84,6.05,0,0
 14-21,0,0,1.37,0,0,0,0,0,0,0,5.7,0,0,0,0.85,0,5.3,0,0
 24-34,0,0,1.37,0,0,0,0,0,0.65,0.68,9.2,0.97,0,0.65,0,0,0,0,0
 36-46,0,0,0,0,0,2.68,0,0,0,0,4.22,0,0,0,0,0,0,0,0.92
 48-58,0,0,0,4.9,0,2.01,0,0,1.19,0,9.19,0,0,5.62,0,0,0,2.38,0.44
 60-70,0,0,0,0,0.65,0.79,0,0,2.94,1.27,12.85,0,0,0,0,0,0,0,0
 72-82,0,0,0,10.8,0,3.67,0,0,6.76,0,12.35,0,0,0,0,0,0,5.51,0
 84-94,0,0,0,4.6,0,0,0,0.58,1.19,0,0,0,0,2.1,0,0,0,0,0
 96-106,0,0,0.63,1.04,0,0,0,0,5.21,0,0,0,0,0.63,0,0,0,0,0
108-118,0,0,0,1.63,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.65,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,15.97
