stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,44.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.58,0,0,0,0,0,0,0,0,0,0,53.19,0,0,3.69,0,0,0,0,0,0,0,0,0
 10-12,15.18,3.62,0,3.14,0,0,0,0,0,0,0,0,0,0,154.52,0,0,34.42,0,0,0,0,7.71,0,0,0,0
 14-21,0,0,1.46,5.1,0,0,0,0,0,0,0,0,6.54,1.63,21.38,0,0,0,0,1.15,0.9,3.18,20.78,3.7,0,0,0
 24-34,0,0,0,7.89,0,0,0,0,0,1.14,0,0,6.21,1.49,21.23,0,0.68,0,0,0,0,0,18.01,3.25,0,0,0
 36-46,0,0,0,5.48,6.4,0,0,2.93,0,0,0,0,1.1,5.65,15.86,0,0,0,0,0,0,1.31,0.69,2.51,0,0,0
 48-58,0,0,0,5.21,0.62,0,1.33,0,0,0,0,0,7.26,6.42,8.91,0,0,0,0,0,0,0,0,0.55,0,0,0
 60-70,0,0,0,55.5,1.27,0,0,0.9,0,0,0.74,0,8.02,6.35,6.86,0,0,0,0,0,0,0,0,2.86,2.55,0.68,0
 72-82,0,0,0,139.93,1.78,0,0.59,0,0.56,0,0,0.51,1.22,6.27,6.86,0,0,0,1.61,0,0,2.68,0,1.6,0,0,0
 84-94,0,0,0,112.44,0,0,0,0,0,0,0,0,5.78,9.11,15.76,0,0,0,0,0,0,0,0,0,0,0,0.98
 96-106,0,0,0,100.38,0,0.58,0,3.17,2.64,0,0.73,0,4.92,11.31,3.56,0.96,0,0,0,0,0,0.64,0,0,0,0,0
108-118,0,0,0,81.62,6.29,0,0.56,0.53,0,0,0.51,0,5.37,1.87,4.93,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,60.46,0,1.06,0,0,0,0,0,0,23.76,5.47,2.86,0,0,0,0,0,0,0,0,0,0,0,0
