stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,49.97,806.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.03,0,0,0,0,0,0,0,0,0
  5-6,64.53,1126.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.28,0,0,0,0,0,11.93,0,0,0,0,0,0,0,0,0
  7-9,12.87,16.99,0,31.65,0,0,0,57.27,0,0,0,0,0,43.63,0,0,0,0,0,0,0,0,0,0,641.98,29.44,0,0,216.07,0,3.26,10.31,0,0,0,0,0,0,0,0
 10-12,0,9.96,0,22.85,0,0,0,48.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.81,65.91,0,0,195.39,0,0,0,0,19.92,0,0,0,0,0,0
 14-21,0,0,0,5.78,3.88,0.99,0,5.01,0,0,0,1.16,1.38,0,0,0,0,0,0,0,0.84,0,0,2.51,73.86,1.25,0,0,3.32,0,1.88,0,5.04,0.9,8.3,22.15,0,0,2.17,0
 24-34,0,0,0.6,0.82,4.08,0,0,15.08,0,0,0.61,1.79,0,0,0.98,0,1.82,0.82,0,0.69,14.21,0,0,14.43,185.42,1.8,2.21,0,0,0,2.71,0,0,0,1.35,30.17,0,0,8.68,0
 36-46,0,0,0,0,0.76,0,0,20.64,0,0,0.63,5.53,0,0,1.49,0.81,0,0,0,0,8.8,0,1.06,3.24,182.91,0.69,0.81,0,0,0,5.46,0,0,0,0,45.06,0,1.37,3.39,0
 48-58,0,0,0,0,8.05,0,0,53.93,0.65,0,0,16.86,0.97,0.57,0,0,0,0,2.08,0,15.68,0,0,1.4,183.34,0,0.47,0,0,0.4,7.44,0,0,0,0,36.85,0,0,1.65,0
 60-70,0,0,0,0,1.17,0,0,79.07,0,0,1.83,7.8,1.58,0,0,0,0,0,4.62,0,26.03,0,0,0.57,178.99,0,0.92,0,0,0,3,0,0,0,0,33.74,0,0.71,1.43,0
 72-82,0,0,0,0,3.3,9.41,0,57.45,0,0,0,5.41,0,0,0.51,1.66,0,0,0,0,26.63,1.38,1.28,1.15,145.29,0,1.51,0.61,0,0,0.62,0,0,0,0,17.52,0,0,2.88,0
 84-94,0,0,0.56,0,5.64,0.6,0,48.77,0,0,0,13.78,0,0,0,0,1.79,0,2.93,0,11.11,0,0,0.8,105.97,0,0,0,0,0,15.94,0,0,0,0,23.11,0.6,0,0.86,0
 96-106,0,0,0,0,2.84,3.13,0,39.3,0,0,1.02,8.96,4.41,0,0,0.72,5.01,0,0,3.66,8.68,0,0,4.57,68.89,0,0,2.24,0,1.96,9.49,0,0,0,0,3.22,0,3.23,1.53,0
108-118,0,0,0,0,13.6,0.52,0,28.54,0,0.47,1.14,8.38,4.28,0,0,0.85,1.75,0.47,0,0,13.93,0.91,2.64,4.32,82.47,0,1.88,2.97,0,0,1.86,0,0,0,0,5.75,0,3.43,5.85,0.48
120,0,0,0,0,2.65,0,2.02,33.77,0,0,0,30.69,0,0,0,0,1.12,0,0,0,19.07,7.47,0,1.86,114,0,2.92,4.59,0,0,0,0,0,0,0,0,0,0,11.04,0
