stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.25,0,1.9,0,0,0,0,0,0,0,0,0,3.92,11.88,5.86,1.1,0,0,0,2.52,0,0,0,0
 24-34,0,0,0,0,5.57,0,2.76,0,0,0,0,0,0,0.7,117.03,0.67,43.02,0,0,0,0,20.13,0,0,0,1.74
 36-46,0,0,0,0,12.89,0,2.97,0,0,0,0,0,0,0,191.63,1.22,24.46,0,0,0,0,40.58,0,0.72,0,0.6
 48-58,0,0,0,0,40.95,0,14.31,0,0,0,0,0,0,4.47,264.46,0,12.04,0,0,0,0,25.54,0,0,0,17.53
 60-70,0,10.85,0,0,96.74,0,68.57,0,0,0,2.72,6.52,0,0,505.2,0,27.54,0,0,0,0,8.05,0,0,0,13.11
 72-82,0,6.87,0,0,197.16,0,110.27,0,0,1.21,0,24.77,0,0,767.91,0,43.21,1.71,0.72,1.97,0,9.74,0,3.48,1.41,17.48
 84-94,0,0.56,0,0,203.7,0,99.69,3.04,0.85,0,0,6.76,0,0.77,612.41,0.6,28.01,1.12,0,0,0,18,0,0,0,0.69
 96-106,0,13.34,0,0,157.81,1.22,81.58,0,0,0.81,0,13.53,0,9.25,633.59,0,51.91,0,0,6.13,3.82,6.73,0,0,0,5.03
108-118,0.57,9.95,1.32,0,195.44,0,79.75,0,0,2.41,0,19.09,0,0,808.98,0,54.64,2.07,0,5.29,0,6.18,0.67,0,0,11.52
120,0,28.93,0,14.33,254.19,0,60.65,0,0,0,0,42.41,16.34,0,1017.07,1.33,64.68,0,0,0,0,35.18,0,0,0,4.74
