stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,18.15,0,0
  5-6,0,13.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.34,0,3.53,0
 14-21,0,0,0,0,0,0,0,4.21,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.19,0,0,0.75,0,0
 36-46,0,0,0,0,1.95,0,0,8.91,0,0,0,0,2.58
 48-58,0,0,1.46,0,0,0.54,0,0,0,0,0,0,2.97
 60-70,0,0,0,0,1.02,0.9,0,0.94,0,0,0.72,0,0
 72-82,0,0,0,0,0,1.59,0,4.21,0.52,0,0.75,0,0.53
 84-94,0,0,0,0,0,0,0,0,0,0,3.57,0,0
 96-106,0,0,0,4.87,0,0,0,1.21,0.8,0,0.9,0,0
108-118,0,0,2.9,0,0,0,0.87,0,0,0,0,0,0
