stage,blastomeres,epidermis,erythrocytes,eye,hatching.gland,heart,immune,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,23.18,0,0,0,0,0,0,0,0,0,7.13,0,0
  7-9,0,0,0,21.28,4.39,0,0,0,99.05,28.09,0,0,0
 10-12,0,0,0,3.21,0,0,0,0,29.59,5.05,0,0,0
 14-21,0,0,1.21,0,0,0,0,0,0,0,0,0.82,0
 24-34,0,0.61,0,0,0,0,0,0,0.61,0,0,0.98,17.2
 36-46,0,0,0,0.74,0,0,0,0,2.73,0,0,0.78,11.41
 48-58,0,0,0,1.05,0,0.65,0,0,6.93,0,0,1.02,1.03
 60-70,0,0,0,1.4,0,0,0,0,4.23,0,3,0,7.9
 72-82,0,0,0,0,0,0,0,1.11,3.19,0,0,0,6.2
 84-94,0,2,0,0,0,0,0,0,3.5,0,0,0,8.22
 96-106,0,0.7,0,0.77,0,0,0,0,0,0,0,0,7.42
108-118,0,0,0,0,0,0,0.42,0,0,0,0,0,21.02
120,0,0,0,0,0,0,0,0,0,0,0,0,5.75
