stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,438.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0
  5-6,0,346,0,0,0,0,0,0,0,0,0,0,30.99,0,0,0,0,16.19,0,0,0
  7-9,4.99,0,3.67,0,0,25.24,0,0,10.14,0,0,0,130.6,0,0,0,34.48,0,0,0,0
 10-12,0,0,0,0,0,14.2,0,0,0,0,0,0,86.97,0,0,0,7.05,0,0,0,0
 14-21,0,0,0.81,2.28,0.86,0,0,0,0,0,0.87,0,5.56,0.96,0,0,0,0,0,3.08,2.1
 24-34,0,0,0,0,0,0.76,0,0,0,0,0,0.67,2.56,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,2.14,0,0,0,0,3.91,0,1.52,0,0.64,5.19,0,0,0,2.17,0
 48-58,0,0,0,2.81,0,0,2.13,1.04,0,0,0.54,0,3.5,0,1.65,0,0,0,1.22,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,11.23,7.77,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,1.26,0,0,0.54,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.43,0,0,0,0.64,0,0.67,0,0,3.87,0,0,0,0,0.43,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37
