stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,glial,hatching_gland,immune,iridophores,mesenchyme,mucous,neural,slow_muscle,somites,spinal_cord
  5-6,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,0,0,0,4.1,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.97,0
 36-46,0,0,0,0,0.74,0,0,0,0,2.31,0,0,25.14,0,0,0
 48-58,0,0,0,0,0,2.37,2.36,0,0,0,0,0,2.59,0,0,0.95
 60-70,0,0,0,0,0,1.66,0,0,0.63,0,0,0,3.13,0,0,0
 72-82,0,0,0,0,7.96,4.55,0,0,2.22,0,1.75,0.83,8.73,0,0,0
 84-94,0,0,1.67,0,0,0,0,0,0.97,0,0.69,0,3.51,0,0,0
 96-106,0,0,1.24,0,0,0,0,0,1.36,0,2.58,0,4.33,5.77,0,0
108-118,0,0,1.21,0.45,6.88,1.09,1.87,0,0.85,0,0,0,1.05,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0
